,datetime,AGENCY_LAKE_NEAR_KLAMATH_AGENCY__OR.tsv
251,2014-09-01,4138.43
252,2014-09-02,4138.38
253,2014-09-03,4138.35
254,2014-09-04,4138.24
255,2014-09-05,4138.23
256,2014-09-06,4138.25
257,2014-09-07,4138.27
258,2014-09-08,4138.22
259,2014-09-09,4138.2
260,2014-09-10,4138.18
261,2014-09-11,4138.16
262,2014-09-12,4138.14
263,2014-09-13,4138.12
264,2014-09-14,4138.11
265,2014-09-15,4138.19
266,2014-09-16,4138.11
267,2014-09-17,4138.25
268,2014-09-18,4138.163333333333
269,2014-09-19,4138.076666666667
270,2014-09-20,4137.99
271,2014-09-21,4137.99
272,2014-09-22,4138.02
273,2014-09-23,4138.21
274,2014-09-24,4138.16
275,2014-09-25,4138.23
276,2014-09-26,4138.0
277,2014-09-27,4137.83
278,2014-09-28,4137.94
279,2014-09-29,4138.04
280,2014-09-30,4137.94
281,2014-10-01,4138.01
282,2014-10-02,4138.04
283,2014-10-03,4138.04
284,2014-10-04,4138.03
285,2014-10-05,4138.06
286,2014-10-06,4138.06
287,2014-10-07,4138.06
288,2014-10-08,4138.04
289,2014-10-09,4138.01
290,2014-10-10,4137.98
291,2014-10-11,4137.95
292,2014-10-12,4137.95
293,2014-10-13,4137.98
294,2014-10-14,4138.09
295,2014-10-15,4138.21
296,2014-10-16,4138.04
297,2014-10-17,4138.13
298,2014-10-18,4138.03
299,2014-10-19,4138.1
300,2014-10-20,4138.16
301,2014-10-21,4138.15
302,2014-10-22,4138.34
303,2014-10-23,4138.62
304,2014-10-24,4138.26
305,2014-10-25,4139.06
306,2014-10-26,4138.28
307,2014-10-27,4138.19
308,2014-10-28,4138.25
309,2014-10-29,4138.25
310,2014-10-30,4138.26
311,2014-10-31,4138.39
312,2014-11-01,4138.18
313,2014-11-02,4138.31
314,2014-11-03,4138.33
315,2014-11-04,4138.4
316,2014-11-05,4138.33
317,2014-11-06,4138.37
318,2014-11-07,4138.32
319,2014-11-08,4138.34
320,2014-11-09,4138.34
321,2014-11-10,4138.29
322,2014-11-11,4138.14
323,2014-11-12,4138.12
324,2014-11-13,4138.46
325,2014-11-14,4138.59
326,2014-11-15,4138.3
327,2014-11-16,4138.37
328,2014-11-17,4138.43
329,2014-11-18,4138.45
330,2014-11-19,4138.56
331,2014-11-20,4138.52
332,2014-11-21,4138.86
333,2014-11-22,4138.69
334,2014-11-23,4138.77
335,2014-11-24,4138.7
336,2014-11-25,4138.77
337,2014-11-26,4138.73
338,2014-11-27,4138.8
339,2014-11-28,4139.02
340,2014-11-29,4138.87
341,2014-11-30,4138.68
342,2014-12-01,4138.86
343,2014-12-02,4138.84
344,2014-12-03,4138.96
345,2014-12-04,4138.97
346,2014-12-05,4139.06
347,2014-12-06,4139.05
348,2014-12-07,4139.02
349,2014-12-08,4139.12
350,2014-12-09,4139.2
351,2014-12-10,4139.44
352,2014-12-11,4139.85
353,2014-12-12,4139.28
354,2014-12-13,4139.28
355,2014-12-14,4139.3
356,2014-12-15,4139.45
357,2014-12-16,4139.45
358,2014-12-17,4139.49
359,2014-12-18,4139.62
360,2014-12-19,4139.62
361,2014-12-20,4139.86
362,2014-12-21,4139.78
363,2014-12-22,4139.78
364,2014-12-23,4139.96
365,2014-12-24,4140.04
366,2014-12-25,4140.07
367,2014-12-26,4140.24
368,2014-12-27,4140.33
369,2014-12-28,4140.3
370,2014-12-29,4140.27
371,2014-12-30,4140.12
372,2014-12-31,4140.4
373,2015-01-01,4140.44
374,2015-01-02,4140.46
375,2015-01-03,4140.49
376,2015-01-04,4140.52
377,2015-01-05,4140.53
378,2015-01-06,4140.54
379,2015-01-07,4140.53
380,2015-01-08,4140.53
381,2015-01-09,4140.53
382,2015-01-10,4140.55
383,2015-01-11,4140.56
384,2015-01-12,4140.58
385,2015-01-13,4140.59
386,2015-01-14,4140.61
387,2015-01-15,4140.63
388,2015-01-16,4140.69
389,2015-01-17,4140.79
390,2015-01-18,4140.77
391,2015-01-19,4140.77
392,2015-01-20,4140.77
393,2015-01-21,4140.81
394,2015-01-22,4140.86
395,2015-01-23,4140.89
396,2015-01-24,4140.92
397,2015-01-25,4140.94
398,2015-01-26,4140.96
399,2015-01-27,4140.99
400,2015-01-28,4141.01
401,2015-01-29,4141.02
402,2015-01-30,4141.0
403,2015-01-31,4141.07
404,2015-02-01,4141.12
405,2015-02-02,4141.27
406,2015-02-03,4141.29
407,2015-02-04,4141.3
408,2015-02-05,4141.68
409,2015-02-06,4141.95
410,2015-02-07,4141.71
411,2015-02-08,4141.75
412,2015-02-09,4141.86
413,2015-02-10,4141.73
414,2015-02-11,4141.78
415,2015-02-12,4141.84
416,2015-02-13,4141.88
417,2015-02-14,4141.92
418,2015-02-15,4141.92
419,2015-02-16,4141.96
420,2015-02-17,4142.03
421,2015-02-18,4142.06
422,2015-02-19,4142.08
423,2015-02-20,4142.11
424,2015-02-21,4142.07
425,2015-02-22,4142.0
426,2015-02-23,4142.1
427,2015-02-24,4142.21
428,2015-02-25,4142.22
429,2015-02-26,4142.26
430,2015-02-27,4142.28
431,2015-02-28,4142.17
432,2015-03-01,4142.29
433,2015-03-02,4142.32
434,2015-03-03,4142.35
435,2015-03-04,4142.37
436,2015-03-05,4142.39
437,2015-03-06,4142.41
438,2015-03-07,4142.42
439,2015-03-08,4142.44
440,2015-03-09,4142.45
441,2015-03-10,4142.48
442,2015-03-11,4142.56
443,2015-03-12,4142.54
444,2015-03-13,4142.56
445,2015-03-14,4142.67
446,2015-03-15,4142.76
447,2015-03-16,4142.67
448,2015-03-17,4142.69
449,2015-03-18,4142.71
450,2015-03-19,4142.73
451,2015-03-20,4142.77
452,2015-03-21,4142.78
453,2015-03-22,4142.79
454,2015-03-23,4142.97
455,2015-03-24,4142.89
456,2015-03-25,4142.88
457,2015-03-26,4142.87
458,2015-03-27,4142.89
459,2015-03-28,4142.9
460,2015-03-29,4142.91
461,2015-03-30,4142.94
462,2015-03-31,4142.9
463,2015-04-01,4142.89
464,2015-04-02,4142.92
465,2015-04-03,4142.91
466,2015-04-04,4142.89
467,2015-04-05,4142.95
468,2015-04-06,4143.17
469,2015-04-07,4143.03
470,2015-04-08,4142.9
471,2015-04-09,4142.88
472,2015-04-10,4142.91
473,2015-04-11,4142.92
474,2015-04-12,4142.91
475,2015-04-13,4142.89
476,2015-04-14,4142.82
477,2015-04-15,4142.86
478,2015-04-16,4142.85
479,2015-04-17,4142.85
480,2015-04-18,4142.81
481,2015-04-19,4142.82
482,2015-04-20,4142.81
483,2015-04-21,4142.77
484,2015-04-22,4142.73
485,2015-04-23,4142.73
486,2015-04-24,4142.69
487,2015-04-25,4142.65
488,2015-04-26,4142.65
489,2015-04-27,4142.64
490,2015-04-28,4142.61
491,2015-04-29,4142.56
492,2015-04-30,4142.54
493,2015-05-01,4142.55
494,2015-05-02,4142.52
495,2015-05-03,4142.5
496,2015-05-04,4142.46
497,2015-05-05,4142.41
498,2015-05-06,4142.33
499,2015-05-07,4142.22
500,2015-05-08,4142.27
501,2015-05-09,4142.3
502,2015-05-10,4142.27
503,2015-05-11,4142.24
504,2015-05-12,4142.23
505,2015-05-13,4142.27
506,2015-05-14,4142.21
507,2015-05-15,4142.17
508,2015-05-16,4142.22
509,2015-05-17,4142.22
510,2015-05-18,4142.2
511,2015-05-19,4142.22
512,2015-05-20,4142.24
513,2015-05-21,4142.31
514,2015-05-22,4142.27
515,2015-05-23,4142.29
516,2015-05-24,4142.28
517,2015-05-25,4142.27
518,2015-05-26,4142.27
519,2015-05-27,4142.26
520,2015-05-28,4142.26
521,2015-05-29,4142.24
522,2015-05-30,4142.26
523,2015-05-31,4142.28
524,2015-06-01,4142.24
525,2015-06-02,4142.18
526,2015-06-03,4142.13
527,2015-06-04,4142.09
528,2015-06-05,4142.07
529,2015-06-06,4142.09
530,2015-06-07,4142.1
531,2015-06-08,4142.08
532,2015-06-09,4142.08
533,2015-06-10,4142.01
534,2015-06-11,4141.97
535,2015-06-12,4141.95
536,2015-06-13,4141.89
537,2015-06-14,4141.85
538,2015-06-15,4141.83
539,2015-06-16,4141.83
540,2015-06-17,4141.8
541,2015-06-18,4141.76
542,2015-06-19,4141.71
543,2015-06-20,4141.68
544,2015-06-21,4141.64
545,2015-06-22,4141.59
546,2015-06-23,4141.56
547,2015-06-24,4141.5
548,2015-06-25,4141.45
549,2015-06-26,4141.4
550,2015-06-27,4141.4
551,2015-06-28,4141.39
552,2015-06-29,4141.34
553,2015-06-30,4141.27
554,2015-07-01,4141.24
555,2015-07-02,4141.2
556,2015-07-03,4141.15
557,2015-07-04,4141.12
558,2015-07-05,4141.18
559,2015-07-06,4141.04
560,2015-07-07,4141.03
561,2015-07-08,4140.96
562,2015-07-09,4140.96
563,2015-07-10,4141.02
564,2015-07-11,4141.02
565,2015-07-12,4140.96
566,2015-07-13,4140.92
567,2015-07-14,4140.87
568,2015-07-15,4140.88
569,2015-07-16,4140.86
570,2015-07-17,4140.8
571,2015-07-18,4140.8
572,2015-07-19,4140.79
573,2015-07-20,4140.77
574,2015-07-21,4140.73
575,2015-07-22,4140.68
576,2015-07-23,4140.66
577,2015-07-24,4140.62
578,2015-07-25,4140.57
579,2015-07-26,4140.48
580,2015-07-27,4140.48
581,2015-07-28,4140.41
582,2015-07-29,4140.38
583,2015-07-30,4140.37
584,2015-07-31,4140.33
585,2015-08-01,4140.3
586,2015-08-02,4140.29
587,2015-08-03,4140.23
588,2015-08-04,4140.23
589,2015-08-05,4140.24
590,2015-08-06,4140.15
591,2015-08-07,4140.12
592,2015-08-08,4140.13
593,2015-08-09,4140.11
594,2015-08-10,4140.06
595,2015-08-11,4140.07
596,2015-08-12,4140.09
597,2015-08-13,4140.09
598,2015-08-14,4139.92
599,2015-08-15,4139.88
600,2015-08-16,4139.83
601,2015-08-17,4139.8
602,2015-08-18,4139.79
603,2015-08-19,4139.76
604,2015-08-20,4139.72
605,2015-08-21,4139.68
606,2015-08-22,4139.6
607,2015-08-23,4139.61
608,2015-08-24,4139.59
609,2015-08-25,4139.56
610,2015-08-26,4139.52
611,2015-08-27,4139.46
612,2015-08-28,4139.46
613,2015-08-29,4139.59
614,2015-08-30,4139.34
615,2015-08-31,4139.26
616,2015-09-01,4139.25
617,2015-09-02,4139.2
618,2015-09-03,4139.1
619,2015-09-04,4139.07
620,2015-09-05,4139.12
621,2015-09-06,4139.07
622,2015-09-07,4139.07
623,2015-09-08,4139.06
624,2015-09-09,4139.05
625,2015-09-10,4139.03
626,2015-09-11,4139.0
627,2015-09-12,4138.97
628,2015-09-13,4138.93
629,2015-09-14,4138.91
630,2015-09-15,4138.89
631,2015-09-16,4139.04
632,2015-09-17,4138.95
633,2015-09-18,4138.86
634,2015-09-19,4138.85
635,2015-09-20,4138.86
636,2015-09-21,4138.85
637,2015-09-22,4138.84
638,2015-09-23,4138.85
639,2015-09-24,4138.83
640,2015-09-25,4138.83
641,2015-09-26,4138.77
642,2015-09-27,4138.7
643,2015-09-28,4138.71
644,2015-09-29,4138.74
645,2015-09-30,4138.73
646,2015-10-01,4138.69
647,2015-10-02,4138.64
648,2015-10-03,4138.44
649,2015-10-04,4138.51
650,2015-10-05,4138.58
651,2015-10-06,4138.57
652,2015-10-07,4138.56
653,2015-10-08,4138.55
654,2015-10-09,4138.54
655,2015-10-10,4138.56
656,2015-10-11,4138.44
657,2015-10-12,4138.44
658,2015-10-13,4138.42
659,2015-10-14,4138.39
660,2015-10-15,4138.35
661,2015-10-16,4138.36
662,2015-10-17,4138.38
663,2015-10-18,4138.34
664,2015-10-19,4138.33
665,2015-10-20,4138.3
666,2015-10-21,4138.3
667,2015-10-22,4138.26
668,2015-10-23,4138.27
669,2015-10-24,4138.27
670,2015-10-25,4138.4
671,2015-10-26,4138.28
672,2015-10-27,4138.26
673,2015-10-28,4138.3
674,2015-10-29,4138.28
675,2015-10-30,4138.37
676,2015-10-31,4138.47
677,2015-11-01,4138.41
678,2015-11-02,4138.21
679,2015-11-03,4138.15
680,2015-11-04,4138.26
681,2015-11-05,4138.28
682,2015-11-06,4138.27
683,2015-11-07,4138.29
684,2015-11-08,4138.38
685,2015-11-09,4138.29
686,2015-11-10,4138.28
687,2015-11-11,4138.4
688,2015-11-12,4138.27
689,2015-11-13,4138.31
690,2015-11-14,4138.43
691,2015-11-15,4138.37
692,2015-11-16,4138.36
693,2015-11-17,4138.63
694,2015-11-18,4138.34
695,2015-11-19,4138.5
696,2015-11-20,4138.18
697,2015-11-21,4138.23
698,2015-11-22,4138.28
699,2015-11-23,4138.29
700,2015-11-24,4138.28
701,2015-11-25,4137.98
702,2015-11-26,4138.19
703,2015-11-27,4138.23
704,2015-11-28,4138.28
705,2015-11-29,4138.3
706,2015-11-30,4138.3
707,2015-12-01,4138.31
708,2015-12-02,4138.34
709,2015-12-03,4138.57
710,2015-12-04,4138.46
711,2015-12-05,4138.54
712,2015-12-06,4138.72
713,2015-12-07,4138.82
714,2015-12-08,4138.8
715,2015-12-09,4138.82
716,2015-12-10,4138.98
717,2015-12-11,4138.91
718,2015-12-12,4139.15
719,2015-12-13,4139.0
720,2015-12-14,4138.92
721,2015-12-15,4138.98
722,2015-12-16,4139.02
723,2015-12-17,4139.22
724,2015-12-18,4139.26
725,2015-12-19,4139.18
726,2015-12-20,4139.47
727,2015-12-21,4139.61
728,2015-12-22,4139.38
729,2015-12-23,4139.48
730,2015-12-24,4139.51
731,2015-12-25,4139.52
732,2015-12-26,4139.54
733,2015-12-27,4139.57
734,2015-12-28,4139.6
735,2015-12-29,4139.63
736,2015-12-30,4139.66
737,2015-12-31,4139.68
738,2016-01-01,4139.7
739,2016-01-02,4139.72
740,2016-01-03,4139.74
741,2016-01-04,4139.76
742,2016-01-05,4139.78
743,2016-01-06,4139.81
744,2016-01-07,4139.84
745,2016-01-08,4139.84
746,2016-01-09,4139.88
747,2016-01-10,4139.9
748,2016-01-11,4139.92
749,2016-01-12,4139.95
750,2016-01-13,4140.0
751,2016-01-14,4140.03
752,2016-01-15,4140.08
753,2016-01-16,4140.13
754,2016-01-17,4140.19
755,2016-01-18,4140.26
756,2016-01-19,4140.32
757,2016-01-20,4140.36
758,2016-01-21,4140.41
759,2016-01-22,4140.48
760,2016-01-23,4140.56
761,2016-01-24,4140.62
762,2016-01-25,4140.67
763,2016-01-26,4140.73
764,2016-01-27,4140.77
765,2016-01-28,4140.84
766,2016-01-29,4140.91
767,2016-01-30,4140.96
768,2016-01-31,4140.97
769,2016-02-01,4141.05
770,2016-02-02,4141.12
771,2016-02-03,4141.19
772,2016-02-04,4141.22
773,2016-02-05,4141.23
774,2016-02-06,4141.26
775,2016-02-07,4141.27
776,2016-02-08,4141.29
777,2016-02-09,4141.31
778,2016-02-10,4141.34
779,2016-02-11,4141.36
780,2016-02-12,4141.38
781,2016-02-13,4141.41
782,2016-02-14,4141.48
783,2016-02-15,4141.51
784,2016-02-16,4141.51
785,2016-02-17,4141.83
786,2016-02-18,4141.88
787,2016-02-19,4141.92
788,2016-02-20,4141.72
789,2016-02-21,4141.77
790,2016-02-22,4141.82
791,2016-02-23,4141.84
792,2016-02-24,4141.88
793,2016-02-25,4141.92
794,2016-02-26,4141.98
795,2016-02-27,4142.02
796,2016-02-28,4142.05
797,2016-02-29,4142.09
798,2016-03-01,4142.25
799,2016-03-02,4142.25
800,2016-03-03,4142.2
801,2016-03-04,4142.3
802,2016-03-05,4142.57
803,2016-03-06,4142.52
804,2016-03-07,4142.41
805,2016-03-08,4142.55
806,2016-03-09,4142.79
807,2016-03-10,4142.77
808,2016-03-11,4142.87
809,2016-03-12,4143.02
810,2016-03-13,4143.17
811,2016-03-14,4143.04
812,2016-03-15,4143.05
813,2016-03-16,4142.98
814,2016-03-17,4142.9
815,2016-03-18,4142.86
816,2016-03-19,4142.9
817,2016-03-20,4142.99
818,2016-03-21,4143.03
819,2016-03-22,4142.95
820,2016-03-23,4142.99
821,2016-03-24,4142.97
822,2016-03-25,4142.92
823,2016-03-26,4142.93
824,2016-03-27,4142.9
825,2016-03-28,4142.78
826,2016-03-29,4142.64
827,2016-03-30,4142.86
828,2016-03-31,4142.87
829,2016-04-01,4142.86
830,2016-04-02,4142.88
831,2016-04-03,4142.9
832,2016-04-04,4142.87
833,2016-04-05,4142.88
834,2016-04-06,4142.9
835,2016-04-07,4142.92
836,2016-04-08,4142.94
837,2016-04-09,4142.98
838,2016-04-10,4143.03
839,2016-04-11,4143.06
840,2016-04-12,4143.06
841,2016-04-13,4143.19
842,2016-04-14,4143.26
843,2016-04-15,4143.14
844,2016-04-16,4143.16
845,2016-04-17,4143.17
846,2016-04-18,4143.18
847,2016-04-19,4143.18
848,2016-04-20,4143.23
849,2016-04-21,4143.25
850,2016-04-22,4143.31
851,2016-04-23,4143.15
852,2016-04-24,4143.1
853,2016-04-25,4143.02
854,2016-04-26,4143.12
855,2016-04-27,4143.09
856,2016-04-28,4143.07
857,2016-04-29,4142.99
858,2016-04-30,4143.0
859,2016-05-01,4143.02
860,2016-05-02,4143.02
861,2016-05-03,4143.0
862,2016-05-04,4143.0
863,2016-05-05,4142.98
864,2016-05-06,4142.88
865,2016-05-07,4142.91
866,2016-05-08,4142.93
867,2016-05-09,4142.9
868,2016-05-10,4142.9
869,2016-05-11,4142.9
870,2016-05-12,4142.89
871,2016-05-13,4142.9
872,2016-05-14,4142.84
873,2016-05-15,4142.78
874,2016-05-16,4142.78
875,2016-05-17,4142.78
876,2016-05-18,4142.75
877,2016-05-19,4142.68
878,2016-05-20,4142.66
879,2016-05-21,4142.72
880,2016-05-22,4142.72
881,2016-05-23,4142.69
882,2016-05-24,4142.66
883,2016-05-25,4142.65
884,2016-05-26,4142.63
885,2016-05-27,4142.6
886,2016-05-28,4142.6
887,2016-05-29,4142.58
888,2016-05-30,4142.58
889,2016-05-31,4142.55
890,2016-06-01,4142.54
891,2016-06-02,4142.52
892,2016-06-03,4142.48
893,2016-06-04,4142.44
894,2016-06-05,4142.43
895,2016-06-06,4142.37
896,2016-06-07,4142.37
897,2016-06-08,4142.35
898,2016-06-09,4142.24
899,2016-06-10,4142.14
900,2016-06-11,4142.11
901,2016-06-12,4142.06
902,2016-06-13,4142.02
903,2016-06-14,4141.97
904,2016-06-15,4141.93
905,2016-06-16,4141.96
906,2016-06-17,4141.9
907,2016-06-18,4141.93
908,2016-06-19,4141.9
909,2016-06-20,4141.9
910,2016-06-21,4141.9
911,2016-06-22,4141.87
912,2016-06-23,4141.83
913,2016-06-24,4141.8
914,2016-06-25,4141.76
915,2016-06-26,4141.74
916,2016-06-27,4141.71
917,2016-06-28,4141.65
918,2016-06-29,4141.6
919,2016-06-30,4141.53
920,2016-07-01,4141.49
921,2016-07-02,4141.45
922,2016-07-03,4141.41
923,2016-07-04,4141.35
924,2016-07-05,4141.3
925,2016-07-06,4141.28
926,2016-07-07,4141.24
927,2016-07-08,4141.27
928,2016-07-09,4141.18
929,2016-07-10,4141.11
930,2016-07-11,4141.07
931,2016-07-12,4141.03
932,2016-07-13,4141.0
933,2016-07-14,4140.96
934,2016-07-15,4140.9
935,2016-07-16,4140.88
936,2016-07-17,4140.85
937,2016-07-18,4140.84
938,2016-07-19,4140.8
939,2016-07-20,4140.77
940,2016-07-21,4140.72
941,2016-07-22,4140.65
942,2016-07-23,4140.58
943,2016-07-24,4140.53
944,2016-07-25,4140.49
945,2016-07-26,4140.46
946,2016-07-27,4140.4
947,2016-07-28,4140.35
948,2016-07-29,4140.3
949,2016-07-30,4140.24
950,2016-07-31,4140.18
951,2016-08-01,4140.14
952,2016-08-02,4140.1
953,2016-08-03,4140.01
954,2016-08-04,4139.96
955,2016-08-05,4139.97
956,2016-08-06,4139.91
957,2016-08-07,4139.85
958,2016-08-08,4139.79
959,2016-08-09,4139.77
960,2016-08-10,4139.71
961,2016-08-11,4139.7
962,2016-08-12,4139.67
963,2016-08-13,4139.64
964,2016-08-14,4139.59
965,2016-08-15,4139.54
966,2016-08-16,4139.47
967,2016-08-17,4139.4
968,2016-08-18,4139.34
969,2016-08-19,4139.28
970,2016-08-20,4139.21
971,2016-08-21,4139.17
972,2016-08-22,4139.09
973,2016-08-23,4139.02
974,2016-08-24,4138.92
975,2016-08-25,4138.87
976,2016-08-26,4138.85
977,2016-08-27,4138.83
978,2016-08-28,4138.81
979,2016-08-29,4138.78
980,2016-08-30,4138.74
981,2016-08-31,4138.67
982,2016-09-01,4138.63
983,2016-09-02,4138.57
984,2016-09-03,4138.5
985,2016-09-04,4138.48
986,2016-09-05,4138.44
987,2016-09-06,4138.43
988,2016-09-07,4138.42
989,2016-09-08,4138.39
990,2016-09-09,4138.3
991,2016-09-10,4138.31
992,2016-09-11,4138.3
