,datetime,UPPER_KLAMATH_LAKE_AT_ROCKY_POINT__OR.
471,2012-04-16,4143.09
472,2012-04-17,4143.09
473,2012-04-18,4143.11
474,2012-04-19,4143.12
475,2012-04-20,4143.12
476,2012-04-21,4143.13
477,2012-04-22,4143.14
478,2012-04-23,4143.14
479,2012-04-24,4143.12
480,2012-04-25,4143.17
481,2012-04-26,4143.03
482,2012-04-27,4143.06
483,2012-04-28,4143.04
484,2012-04-29,4143.03
485,2012-04-30,4142.93
486,2012-05-01,4142.93
487,2012-05-02,4142.97
488,2012-05-03,4142.98
489,2012-05-04,4142.92
490,2012-05-05,4142.95
491,2012-05-06,4142.95
492,2012-05-07,4142.93
493,2012-05-08,4142.9
494,2012-05-09,4142.81
495,2012-05-10,4142.83
496,2012-05-11,4142.79
497,2012-05-12,4142.74
498,2012-05-13,4142.7
499,2012-05-14,4142.61
500,2012-05-15,4142.58
501,2012-05-16,4142.53
502,2012-05-17,4142.48
503,2012-05-18,4142.45
504,2012-05-19,4142.43
505,2012-05-20,4142.41
506,2012-05-21,4142.35
507,2012-05-22,4142.22
508,2012-05-23,4142.24
509,2012-05-24,4142.25
510,2012-05-25,4142.24
511,2012-05-26,4142.22
512,2012-05-27,4142.26
513,2012-05-28,4142.24
514,2012-05-29,4142.23
515,2012-05-30,4142.2
516,2012-05-31,4142.17
517,2012-06-01,4142.13
518,2012-06-02,4142.07
519,2012-06-03,4142.08
520,2012-06-04,4142.13
521,2012-06-05,4142.0
522,2012-06-06,4142.09
523,2012-06-07,4142.07
524,2012-06-08,4141.97
525,2012-06-09,4142.01
526,2012-06-10,4142.02
527,2012-06-11,4141.98
528,2012-06-12,4141.94
529,2012-06-13,4141.94
530,2012-06-14,4141.87
531,2012-06-15,4141.86
532,2012-06-16,4141.84
533,2012-06-17,4141.77
534,2012-06-18,4141.65
535,2012-06-19,4141.69
536,2012-06-20,4141.67
537,2012-06-21,4141.6
538,2012-06-22,4141.6
539,2012-06-23,4141.53
540,2012-06-24,4141.54
541,2012-06-25,4141.47
542,2012-06-26,4141.44
543,2012-06-27,4141.4
544,2012-06-28,4141.36
545,2012-06-29,4141.35
546,2012-06-30,4141.31
547,2012-07-01,4141.31
548,2012-07-02,4141.23
549,2012-07-03,4141.22
550,2012-07-04,4141.19
551,2012-07-05,4141.17
552,2012-07-06,4141.13
553,2012-07-07,4141.09
554,2012-07-08,4141.03
555,2012-07-09,4141.0
556,2012-07-10,4140.93
557,2012-07-11,4140.88
558,2012-07-12,4140.81
559,2012-07-13,4140.76
560,2012-07-14,4140.68
561,2012-07-15,4140.64
562,2012-07-16,4140.61
563,2012-07-17,4140.6
564,2012-07-18,4140.55
565,2012-07-19,4140.57
566,2012-07-20,4140.44
567,2012-07-21,4140.4
568,2012-07-22,4140.34
569,2012-07-23,4140.32
570,2012-07-24,4140.28
571,2012-07-25,4140.24
572,2012-07-26,4140.2
573,2012-07-27,4140.12
574,2012-07-28,4140.09
575,2012-07-29,4140.02
576,2012-07-30,4140.01
577,2012-07-31,4139.96
578,2012-08-01,4139.91
579,2012-08-02,4139.86
580,2012-08-03,4139.84
581,2012-08-04,4139.79
582,2012-08-05,4139.74
583,2012-08-06,4139.7
584,2012-08-07,4139.66
585,2012-08-08,4139.61
586,2012-08-09,4139.53
587,2012-08-10,4139.5
588,2012-08-11,4139.46
589,2012-08-12,4139.42
590,2012-08-13,4139.39
591,2012-08-14,4139.34
592,2012-08-15,4139.3
593,2012-08-16,4139.26
594,2012-08-17,4139.22
595,2012-08-18,4139.18
596,2012-08-19,4139.16
597,2012-08-20,4139.12
598,2012-08-21,4139.07
599,2012-08-22,4139.05
600,2012-08-23,4138.98
601,2012-08-24,4138.97
602,2012-08-25,4138.93
603,2012-08-26,4138.87
604,2012-08-27,4138.88
605,2012-08-28,4138.77
606,2012-08-29,4138.78
607,2012-08-30,4138.74
608,2012-08-31,4138.69
609,2012-09-01,4138.65
610,2012-09-02,4138.62
611,2012-09-03,4138.59
612,2012-09-04,4138.56
613,2012-09-05,4138.53
614,2012-09-06,4138.53
615,2012-09-07,4138.48
616,2012-09-08,4138.41
617,2012-09-09,4138.35
618,2012-09-10,4138.32
619,2012-09-11,4138.28
620,2012-09-12,4138.26
621,2012-09-13,4138.23
622,2012-09-14,4138.22
623,2012-09-15,4138.17
624,2012-09-16,4138.14
625,2012-09-17,4138.1
626,2012-09-18,4138.07
627,2012-09-19,4138.06
628,2012-09-20,4138.04
629,2012-09-21,4137.98
630,2012-09-22,4137.95
631,2012-09-23,4137.92
632,2012-09-24,4137.9
633,2012-09-25,4137.89
634,2012-09-26,4137.89
635,2012-09-27,4137.88
636,2012-09-28,4137.86
637,2012-09-29,4137.83
638,2012-09-30,4137.82
639,2012-10-01,4137.79
640,2012-10-02,4137.78
641,2012-10-03,4137.74
642,2012-10-04,4137.74
643,2012-10-05,4137.72
644,2012-10-06,4137.71
645,2012-10-07,4137.7
646,2012-10-08,4137.68
647,2012-10-09,4137.68
648,2012-10-10,4137.67
649,2012-10-11,4137.69
650,2012-10-12,4137.65
651,2012-10-13,4137.69
652,2012-10-14,4137.67
653,2012-10-15,4137.71
654,2012-10-16,4137.58
655,2012-10-17,4137.72
656,2012-10-18,4137.74
657,2012-10-19,4137.7
658,2012-10-20,4137.62
659,2012-10-21,4137.76
660,2012-10-22,4137.74
661,2012-10-23,4137.81
662,2012-10-24,4137.79
663,2012-10-25,4137.84
664,2012-10-26,4137.85
665,2012-10-27,4137.89
666,2012-10-28,4137.93
667,2012-10-29,4137.94
668,2012-10-30,4137.98
669,2012-10-31,4138.05
670,2012-11-01,4137.98
671,2012-11-02,4137.98
672,2012-11-03,4138.0
673,2012-11-04,4138.01
674,2012-11-05,4138.02
675,2012-11-06,4138.03
676,2012-11-07,4137.96
677,2012-11-08,4137.98
678,2012-11-09,4137.99
679,2012-11-10,4137.97
680,2012-11-11,4138.1
681,2012-11-12,4138.11
682,2012-11-13,4138.11
683,2012-11-14,4138.13
684,2012-11-15,4138.16
685,2012-11-16,4138.21
686,2012-11-17,4138.19
687,2012-11-18,4138.3
688,2012-11-19,4138.42
689,2012-11-20,4138.3
690,2012-11-21,4138.22
691,2012-11-22,4138.32
692,2012-11-23,4138.36
693,2012-11-24,4138.37
694,2012-11-25,4138.39
695,2012-11-26,4138.41
696,2012-11-27,4138.43
697,2012-11-28,4138.59
698,2012-11-29,4138.63
699,2012-11-30,4138.58
700,2012-12-01,4138.64
701,2012-12-02,4138.68
702,2012-12-03,4138.82
703,2012-12-04,4138.96
704,2012-12-05,4138.96
705,2012-12-06,4138.97
706,2012-12-07,4139.03
707,2012-12-08,4139.1
708,2012-12-09,4139.16
709,2012-12-10,4139.2
710,2012-12-11,4139.24
711,2012-12-12,4139.23
712,2012-12-13,4139.29
713,2012-12-14,4139.31
714,2012-12-15,4139.4
715,2012-12-16,4139.5
716,2012-12-17,4139.37
717,2012-12-18,4139.55
718,2012-12-19,4139.6
719,2012-12-20,4139.67
720,2012-12-21,4139.66
721,2012-12-22,4139.7
722,2012-12-23,4139.74
723,2012-12-24,4139.76
724,2012-12-25,4139.78
725,2012-12-26,4139.82
726,2012-12-27,4139.84
727,2012-12-28,4139.85
728,2012-12-29,4139.88
729,2012-12-30,4139.9
730,2012-12-31,4139.92
731,2013-01-01,4139.93
732,2013-01-02,4139.94
733,2013-01-03,4139.95
734,2013-01-04,4139.97
735,2013-01-05,4139.98
736,2013-01-06,4140.01
737,2013-01-07,4140.03
738,2013-01-08,4140.05
739,2013-01-09,4140.08
740,2013-01-10,4140.1
741,2013-01-11,4140.11
742,2013-01-12,4140.13
743,2013-01-13,4140.14
744,2013-01-14,4140.15
745,2013-01-15,4140.14
746,2013-01-16,4140.14
747,2013-01-17,4140.15
748,2013-01-18,4140.16
749,2013-01-19,4140.17
750,2013-01-20,4140.18
751,2013-01-21,4140.19
752,2013-01-22,4140.2
753,2013-01-23,4140.22
754,2013-01-24,4140.25
755,2013-01-25,4140.29
756,2013-01-26,4140.33
757,2013-01-27,4140.36
758,2013-01-28,4140.4
759,2013-01-29,4140.42
760,2013-01-30,4140.46
761,2013-01-31,4140.5
762,2013-02-01,4140.53
763,2013-02-02,4140.55
764,2013-02-03,4140.58
765,2013-02-04,4140.61
766,2013-02-05,4140.64
767,2013-02-06,4140.67
768,2013-02-07,4140.7
769,2013-02-08,4140.72
770,2013-02-09,4140.75
771,2013-02-10,4140.78
772,2013-02-11,4140.81
773,2013-02-12,4140.83
774,2013-02-13,4140.85
775,2013-02-14,4140.88
776,2013-02-15,4140.91
777,2013-02-16,4140.94
778,2013-02-17,4140.96
779,2013-02-18,4140.99
780,2013-02-19,4141.03
781,2013-02-20,4141.06
782,2013-02-21,4141.09
783,2013-02-22,4141.13
784,2013-02-23,4141.16
785,2013-02-24,4141.2
786,2013-02-25,4141.23
787,2013-02-26,4141.26
788,2013-02-27,4141.29
789,2013-02-28,4141.32
790,2013-03-01,4141.34
791,2013-03-02,4141.36
792,2013-03-03,4141.38
793,2013-03-04,4141.4
794,2013-03-05,4141.41
795,2013-03-06,4141.45
796,2013-03-07,4141.46
797,2013-03-08,4141.46
798,2013-03-09,4141.49
799,2013-03-10,4141.51
800,2013-03-11,4141.54
801,2013-03-12,4141.56
802,2013-03-13,4141.58
803,2013-03-14,4141.59
804,2013-03-15,4141.6
805,2013-03-16,4141.56
806,2013-03-17,4141.54
807,2013-03-18,4141.67
808,2013-03-19,4141.72
809,2013-03-20,4141.67
810,2013-03-21,4141.72
811,2013-03-22,4141.74
812,2013-03-23,4141.8
813,2013-03-24,4141.83
814,2013-03-25,4141.85
815,2013-03-26,4141.87
816,2013-03-27,4141.92
817,2013-03-28,4141.92
818,2013-03-29,4141.94
819,2013-03-30,4141.94
820,2013-03-31,4141.92
821,2013-04-01,4141.99
822,2013-04-02,4142.05
823,2013-04-03,4142.06
824,2013-04-04,4142.11
825,2013-04-05,4142.12
826,2013-04-06,4142.14
827,2013-04-07,4142.14
828,2013-04-08,4142.13
829,2013-04-09,4142.24
830,2013-04-10,4142.26
831,2013-04-11,4142.3
832,2013-04-12,4142.31
833,2013-04-13,4142.25
834,2013-04-14,4142.34
835,2013-04-15,4142.36
836,2013-04-16,4142.37
837,2013-04-17,4142.38
838,2013-04-18,4142.38
839,2013-04-19,4142.33
840,2013-04-20,4142.38
841,2013-04-21,4142.39
842,2013-04-22,4142.42
843,2013-04-23,4142.42
844,2013-04-24,4142.41
845,2013-04-25,4142.4
846,2013-04-26,4142.41
847,2013-04-27,4142.4
848,2013-04-28,4142.36
849,2013-04-29,4142.32
850,2013-04-30,4142.34
851,2013-05-01,4142.36
852,2013-05-02,4142.33
853,2013-05-03,4142.28
854,2013-05-04,4142.32
855,2013-05-05,4142.25
856,2013-05-06,4142.22
857,2013-05-07,4142.19
858,2013-05-08,4142.23
859,2013-05-09,4142.25
860,2013-05-10,4142.24
861,2013-05-11,4142.23
862,2013-05-12,4142.2
863,2013-05-13,4142.16
864,2013-05-14,4142.16
865,2013-05-15,4142.1
866,2013-05-16,4142.12
867,2013-05-17,4142.08
868,2013-05-18,4142.08
869,2013-05-19,4142.08
870,2013-05-20,4142.08
871,2013-05-21,4141.96
872,2013-05-22,4141.99
873,2013-05-23,4142.01
874,2013-05-24,4141.97
875,2013-05-25,4141.99
876,2013-05-26,4141.94
877,2013-05-27,4142.01
878,2013-05-28,4142.0
879,2013-05-29,4141.91
880,2013-05-30,4141.96
881,2013-05-31,4141.97
882,2013-06-01,4141.94
883,2013-06-02,4141.93
884,2013-06-03,4141.92
885,2013-06-04,4141.9
886,2013-06-05,4141.87
887,2013-06-06,4141.84
888,2013-06-07,4141.78
889,2013-06-08,4141.76
890,2013-06-09,4141.71
891,2013-06-10,4141.63
892,2013-06-11,4141.53
893,2013-06-12,4141.51
894,2013-06-13,4141.47
895,2013-06-14,4141.48
896,2013-06-15,4141.42
897,2013-06-16,4141.36
898,2013-06-17,4141.3
899,2013-06-18,4141.2
900,2013-06-19,4141.18
901,2013-06-20,4141.21
902,2013-06-21,4141.17
903,2013-06-22,4141.16
904,2013-06-23,4141.14
905,2013-06-24,4141.16
906,2013-06-25,4141.17
907,2013-06-26,4141.15
908,2013-06-27,4141.15
909,2013-06-28,4141.12
910,2013-06-29,4141.11
911,2013-06-30,4141.1
912,2013-07-01,4141.09
913,2013-07-02,4141.05
914,2013-07-03,4141.0
915,2013-07-04,4140.95
916,2013-07-05,4140.9
917,2013-07-06,4140.87
918,2013-07-07,4140.84
919,2013-07-08,4140.83
920,2013-07-09,4140.8
921,2013-07-10,4140.75
922,2013-07-11,4140.66
923,2013-07-12,4140.6
924,2013-07-13,4140.6
925,2013-07-14,4140.56
926,2013-07-15,4140.53
927,2013-07-16,4140.49
928,2013-07-17,4140.47
929,2013-07-18,4140.4
930,2013-07-19,4140.34
931,2013-07-20,4140.32
932,2013-07-21,4140.28
933,2013-07-22,4140.25
934,2013-07-23,4140.19
935,2013-07-24,4140.19
936,2013-07-25,4140.16
937,2013-07-26,4140.11
938,2013-07-27,4140.05
939,2013-07-28,4139.99
940,2013-07-29,4139.94
941,2013-07-30,4139.92
942,2013-07-31,4139.9
943,2013-08-01,4139.82
944,2013-08-02,4139.83
945,2013-08-03,4139.79
946,2013-08-04,4139.75
947,2013-08-05,4139.73
948,2013-08-06,4139.69
949,2013-08-07,4139.64
950,2013-08-08,4139.66
951,2013-08-09,4139.61
952,2013-08-10,4139.59
953,2013-08-11,4139.58
954,2013-08-12,4139.54
955,2013-08-13,4139.52
956,2013-08-14,4139.49
957,2013-08-15,4139.45
958,2013-08-16,4139.44
959,2013-08-17,4139.4
960,2013-08-18,4139.36
961,2013-08-19,4139.31
962,2013-08-20,4139.29
963,2013-08-21,4139.31
964,2013-08-22,4139.24
965,2013-08-23,4139.23
966,2013-08-24,4139.22
967,2013-08-25,4139.22
968,2013-08-26,4139.2
969,2013-08-27,4139.2
970,2013-08-28,4139.2
971,2013-08-29,4139.16
972,2013-08-30,4139.14
973,2013-08-31,4139.12
974,2013-09-01,4139.12
975,2013-09-02,4139.06
976,2013-09-03,4139.03
977,2013-09-04,4138.98
978,2013-09-05,4138.9
979,2013-09-06,4138.95
980,2013-09-07,4138.92
981,2013-09-08,4138.89
982,2013-09-09,4138.88
983,2013-09-10,4138.86
984,2013-09-11,4138.84
985,2013-09-12,4138.8
986,2013-09-13,4138.78
987,2013-09-14,4138.78
988,2013-09-15,4138.73
989,2013-09-16,4138.72
990,2013-09-17,4138.62
991,2013-09-18,4138.7
992,2013-09-19,4138.69
993,2013-09-20,4138.65
