,datetime,GALESVILLE_RESERVOIR_NEAR_AZALEA__OR.
252,2011-09-10,1859.4
253,2011-09-11,1859.1
254,2011-09-12,1858.79
255,2011-09-13,1858.48
256,2011-09-14,1858.18
257,2011-09-15,1857.88
258,2011-09-16,1857.58
259,2011-09-17,1857.28
260,2011-09-18,1856.97
261,2011-09-19,1856.67
262,2011-09-20,1856.37
263,2011-09-21,1856.08
264,2011-09-22,1855.78
265,2011-09-23,1855.48
266,2011-09-24,1855.16
267,2011-09-25,1854.86
268,2011-09-26,1854.55
269,2011-09-27,1854.24
270,2011-09-28,1853.94
271,2011-09-29,1853.64
272,2011-09-30,1853.3
273,2011-10-01,1852.99
274,2011-10-02,1852.69
275,2011-10-03,1852.37
276,2011-10-04,1852.04
277,2011-10-05,1851.75
278,2011-10-06,1851.42
279,2011-10-07,1851.08
280,2011-10-08,1850.72
281,2011-10-09,1850.39
282,2011-10-10,1850.03
283,2011-10-11,1849.64
284,2011-10-12,1849.28
285,2011-10-13,1848.92
286,2011-10-14,1848.57
287,2011-10-15,1848.21
288,2011-10-16,1847.85
289,2011-10-17,1847.48
290,2011-10-18,1847.14
291,2011-10-19,1846.77
292,2011-10-20,1846.44
293,2011-10-21,1846.06
294,2011-10-22,1845.72
295,2011-10-23,1845.39
296,2011-10-24,1845.04
297,2011-10-25,1844.72
298,2011-10-26,1844.41
299,2011-10-27,1844.12
300,2011-10-28,1843.81
301,2011-10-29,1843.52
302,2011-10-30,1843.25
303,2011-10-31,1842.99
304,2011-11-01,1842.73
305,2011-11-02,1842.47
306,2011-11-03,1842.23
307,2011-11-04,1842.01
308,2011-11-05,1841.87
309,2011-11-06,1841.74
310,2011-11-07,1841.57
311,2011-11-08,1841.39
312,2011-11-09,1841.19
313,2011-11-10,1841.02
314,2011-11-11,1840.87
315,2011-11-12,1840.72
316,2011-11-13,1840.58
317,2011-11-14,1840.47
318,2011-11-15,1840.4
319,2011-11-16,1840.31
320,2011-11-17,1840.26
321,2011-11-18,1840.3
322,2011-11-19,1840.24
323,2011-11-20,1840.17
324,2011-11-21,1840.12
325,2011-11-22,1840.5
326,2011-11-23,1840.61
327,2011-11-24,1840.72
328,2011-11-25,1840.66
329,2011-11-26,1840.56
330,2011-11-27,1840.41
331,2011-11-28,1840.29
332,2011-11-29,1840.18
333,2011-11-30,1840.08
334,2011-12-01,1839.99
335,2011-12-02,1839.9
336,2011-12-03,1839.81
337,2011-12-04,1839.73
338,2011-12-05,1839.68
339,2011-12-06,1839.63
340,2011-12-07,1839.57
341,2011-12-08,1839.51
342,2011-12-09,1839.44
343,2011-12-10,1839.38
344,2011-12-11,1839.32
345,2011-12-12,1839.25
346,2011-12-13,1839.18
347,2011-12-14,1839.12
348,2011-12-15,1839.05
349,2011-12-16,1838.99
350,2011-12-17,1838.92
351,2011-12-18,1838.86
352,2011-12-19,1838.79
353,2011-12-20,1838.72
354,2011-12-21,1838.65
355,2011-12-22,1838.57
356,2011-12-23,1838.48
357,2011-12-24,1838.4
358,2011-12-25,1838.33
359,2011-12-26,1838.24
360,2011-12-27,1838.17
361,2011-12-28,1838.12
362,2011-12-29,1838.09
363,2011-12-30,1838.25
364,2011-12-31,1838.28
365,2012-01-01,1838.21
366,2012-01-02,1838.14
367,2012-01-03,1838.07
368,2012-01-04,1838.04
369,2012-01-05,1838.01
370,2012-01-06,1837.98
371,2012-01-07,1837.93
372,2012-01-08,1837.88
373,2012-01-09,1837.83
374,2012-01-10,1837.8
375,2012-01-11,1837.77
376,2012-01-12,1837.75
377,2012-01-13,1837.72
378,2012-01-14,1837.69
379,2012-01-15,1837.67
380,2012-01-16,1837.65
381,2012-01-17,1837.49
382,2012-01-18,1837.58
383,2012-01-19,1841.45
384,2012-01-20,1843.47
385,2012-01-21,1846.16
386,2012-01-22,1847.19
387,2012-01-23,1847.84
388,2012-01-24,1847.95
389,2012-01-25,1848.07
390,2012-01-26,1849.16
391,2012-01-27,1849.64
392,2012-01-28,1849.71
393,2012-01-29,1849.59
394,2012-01-30,1849.56
395,2012-01-31,1849.61
396,2012-02-01,1849.67
397,2012-02-02,1849.74
398,2012-02-03,1849.8
399,2012-02-04,1849.82
400,2012-02-05,1849.82
401,2012-02-06,1849.81
402,2012-02-07,1849.78
403,2012-02-08,1849.76
404,2012-02-09,1849.7
405,2012-02-10,1849.69
406,2012-02-11,1849.68
407,2012-02-12,1849.68
408,2012-02-13,1849.67
409,2012-02-14,1849.68
410,2012-02-15,1849.64
411,2012-02-16,1849.63
412,2012-02-17,1849.63
413,2012-02-18,1849.74
414,2012-02-19,1849.83
415,2012-02-20,1850.06
416,2012-02-21,1850.68
417,2012-02-22,1851.15
418,2012-02-23,1851.57
419,2012-02-24,1851.88
420,2012-02-25,1852.24
421,2012-02-26,1852.46
422,2012-02-27,1852.63
423,2012-02-28,1852.87
424,2012-02-29,1853.14
425,2012-03-01,1853.41
426,2012-03-02,1853.63
427,2012-03-03,1853.91
428,2012-03-04,1854.38
429,2012-03-05,1855.06
430,2012-03-06,1855.74
431,2012-03-07,1856.18
432,2012-03-08,1856.6
433,2012-03-09,1857.08
434,2012-03-10,1857.58
435,2012-03-11,1858.12
436,2012-03-12,1858.61
437,2012-03-13,1860.14
438,2012-03-14,1861.05
439,2012-03-15,1862.47
440,2012-03-16,1865.67
441,2012-03-17,1867.6
442,2012-03-18,1868.34
443,2012-03-19,1868.77
444,2012-03-20,1869.51
445,2012-03-21,1871.23
446,2012-03-22,1873.99
447,2012-03-23,1874.41
448,2012-03-24,1874.24
449,2012-03-25,1873.88
450,2012-03-26,1873.7
451,2012-03-27,1874.19
452,2012-03-28,1875.39
453,2012-03-29,1875.48
454,2012-03-30,1879.34
455,2012-03-31,1881.72
456,2012-04-01,1881.18
457,2012-04-02,1879.79
458,2012-04-03,1877.99
459,2012-04-04,1877.35
460,2012-04-05,1877.55
461,2012-04-06,1877.81
462,2012-04-07,1877.93
463,2012-04-08,1877.95
464,2012-04-09,1877.95
465,2012-04-10,1878.03
466,2012-04-11,1878.15
467,2012-04-12,1878.28
468,2012-04-13,1878.46
469,2012-04-14,1878.64
470,2012-04-15,1878.78
471,2012-04-16,1879.07
472,2012-04-17,1879.4
473,2012-04-18,1879.69
474,2012-04-19,1880.09
475,2012-04-20,1880.23
476,2012-04-21,1880.25
477,2012-04-22,1880.26
478,2012-04-23,1880.5
479,2012-04-24,1880.63
480,2012-04-25,1880.71
481,2012-04-26,1880.83
482,2012-04-27,1880.9
483,2012-04-28,1880.9
484,2012-04-29,1880.89
485,2012-04-30,1880.85
486,2012-05-01,1880.79
487,2012-05-02,1880.73
488,2012-05-03,1880.75
489,2012-05-04,1880.86
490,2012-05-05,1880.9
491,2012-05-06,1880.89
492,2012-05-07,1880.85
493,2012-05-08,1880.78
494,2012-05-09,1880.69
495,2012-05-10,1880.59
496,2012-05-11,1880.48
497,2012-05-12,1880.36
498,2012-05-13,1880.23
499,2012-05-14,1880.07
500,2012-05-15,1879.92
501,2012-05-16,1879.74
502,2012-05-17,1879.55
503,2012-05-18,1879.36
504,2012-05-19,1879.17
505,2012-05-20,1878.97
506,2012-05-21,1878.78
507,2012-05-22,1878.59
508,2012-05-23,1878.39
509,2012-05-24,1878.25
510,2012-05-25,1878.19
511,2012-05-26,1878.1
512,2012-05-27,1877.96
513,2012-05-28,1877.79
514,2012-05-29,1877.62
515,2012-05-30,1877.45
516,2012-05-31,1877.28
517,2012-06-01,1877.11
518,2012-06-02,1876.96
519,2012-06-03,1876.8
520,2012-06-04,1876.71
521,2012-06-05,1876.62
522,2012-06-06,1876.5
523,2012-06-07,1876.38
524,2012-06-08,1876.25
525,2012-06-09,1876.11
526,2012-06-10,1875.95
527,2012-06-11,1875.79
528,2012-06-12,1875.62
529,2012-06-13,1875.47
530,2012-06-14,1875.31
531,2012-06-15,1875.16
532,2012-06-16,1875.01
533,2012-06-17,1874.85
534,2012-06-18,1874.67
535,2012-06-19,1874.5
536,2012-06-20,1874.35
537,2012-06-21,1874.22
538,2012-06-22,1874.15
539,2012-06-23,1874.02
540,2012-06-24,1873.89
541,2012-06-25,1873.8
542,2012-06-26,1873.67
543,2012-06-27,1873.52
544,2012-06-28,1873.37
545,2012-06-29,1873.23
546,2012-06-30,1873.13
547,2012-07-01,1873.02
548,2012-07-02,1872.89
549,2012-07-03,1872.75
550,2012-07-04,1872.6
551,2012-07-05,1872.44
552,2012-07-06,1872.29
553,2012-07-07,1872.14
554,2012-07-08,1871.99
555,2012-07-09,1871.84
556,2012-07-10,1871.71
557,2012-07-11,1871.57
558,2012-07-12,1871.42
559,2012-07-13,1871.28
560,2012-07-14,1871.13
561,2012-07-15,1870.98
562,2012-07-16,1870.83
563,2012-07-17,1870.73
564,2012-07-18,1870.6
565,2012-07-19,1870.46
566,2012-07-20,1870.35
567,2012-07-21,1870.21
568,2012-07-22,1870.07
569,2012-07-23,1869.93
570,2012-07-24,1869.79
571,2012-07-25,1869.65
572,2012-07-26,1869.5
573,2012-07-27,1869.34
574,2012-07-28,1869.19
575,2012-07-29,1869.04
576,2012-07-30,1868.89
577,2012-07-31,1868.71
578,2012-08-01,1868.49
579,2012-08-02,1868.27
580,2012-08-03,1868.06
581,2012-08-04,1867.85
582,2012-08-05,1867.64
583,2012-08-06,1867.42
584,2012-08-07,1867.2
585,2012-08-08,1866.97
586,2012-08-09,1866.75
587,2012-08-10,1866.52
588,2012-08-11,1866.3
589,2012-08-12,1866.08
590,2012-08-13,1865.85
591,2012-08-14,1865.63
592,2012-08-15,1865.4
593,2012-08-16,1865.17
594,2012-08-17,1864.94
595,2012-08-18,1864.71
596,2012-08-19,1864.47
597,2012-08-20,1864.23
598,2012-08-21,1863.99
599,2012-08-22,1863.76
600,2012-08-23,1863.51
601,2012-08-24,1863.27
602,2012-08-25,1863.04
603,2012-08-26,1862.8
604,2012-08-27,1862.56
605,2012-08-28,1862.32
606,2012-08-29,1862.08
607,2012-08-30,1861.85
608,2012-08-31,1861.6
609,2012-09-01,1861.37
610,2012-09-02,1861.13
611,2012-09-03,1860.89
612,2012-09-04,1860.65
613,2012-09-05,1860.42
614,2012-09-06,1860.18
615,2012-09-07,1859.94
616,2012-09-08,1859.7
617,2012-09-09,1859.45
618,2012-09-10,1859.21
619,2012-09-11,1858.98
620,2012-09-12,1858.74
621,2012-09-13,1858.5
622,2012-09-14,1858.25
623,2012-09-15,1858.01
624,2012-09-16,1857.76
625,2012-09-17,1857.51
626,2012-09-18,1857.27
627,2012-09-19,1857.02
628,2012-09-20,1856.77
629,2012-09-21,1856.52
630,2012-09-22,1856.28
631,2012-09-23,1856.05
632,2012-09-24,1855.8
633,2012-09-25,1855.56
634,2012-09-26,1855.32
635,2012-09-27,1855.09
636,2012-09-28,1854.84
637,2012-09-29,1854.6
638,2012-09-30,1854.35
639,2012-10-01,1854.11
640,2012-10-02,1853.86
641,2012-10-03,1853.52
642,2012-10-04,1853.15
643,2012-10-05,1852.73
644,2012-10-06,1852.35
645,2012-10-07,1851.98
646,2012-10-08,1851.61
647,2012-10-09,1851.24
648,2012-10-10,1850.87
649,2012-10-11,1850.51
650,2012-10-12,1850.15
651,2012-10-13,1849.79
652,2012-10-14,1849.44
653,2012-10-15,1849.15
654,2012-10-16,1848.76
655,2012-10-17,1848.37
656,2012-10-18,1847.98
657,2012-10-19,1847.62
658,2012-10-20,1847.29
659,2012-10-21,1846.87
660,2012-10-22,1846.53
661,2012-10-23,1846.18
662,2012-10-24,1845.81
663,2012-10-25,1845.42
664,2012-10-26,1844.96
665,2012-10-27,1844.55
666,2012-10-28,1844.14
667,2012-10-29,1843.71
668,2012-10-30,1843.28
669,2012-10-31,1842.86
670,2012-11-01,1842.48
671,2012-11-02,1842.14
672,2012-11-03,1841.82
673,2012-11-04,1841.47
674,2012-11-05,1841.1
675,2012-11-06,1840.76
676,2012-11-07,1840.45
677,2012-11-08,1840.17
678,2012-11-09,1839.92
679,2012-11-10,1839.7
680,2012-11-11,1839.5
681,2012-11-12,1839.31
682,2012-11-13,1839.12
683,2012-11-14,1838.92
684,2012-11-15,1838.71
685,2012-11-16,1838.53
686,2012-11-17,1838.39
687,2012-11-18,1838.27
688,2012-11-19,1838.31
689,2012-11-20,1841.27
690,2012-11-21,1842.39
691,2012-11-22,1842.69
692,2012-11-23,1842.77
693,2012-11-24,1842.86
694,2012-11-25,1842.9
695,2012-11-26,1842.91
696,2012-11-27,1842.86
697,2012-11-28,1842.79
698,2012-11-29,1845.79
699,2012-11-30,1849.4
700,2012-12-01,1851.76
701,2012-12-02,1859.49
702,2012-12-03,1860.1
703,2012-12-04,1862.95
704,2012-12-05,1865.73
705,2012-12-06,1866.14
706,2012-12-07,1866.28
707,2012-12-08,1866.16
708,2012-12-09,1866.09
709,2012-12-10,1865.91
710,2012-12-11,1865.67
711,2012-12-12,1865.39
712,2012-12-13,1865.04
713,2012-12-14,1864.67
714,2012-12-15,1864.28
715,2012-12-16,1864.05
716,2012-12-17,1864.9
717,2012-12-18,1865.11
718,2012-12-19,1865.04
719,2012-12-20,1865.16
720,2012-12-21,1865.45
721,2012-12-22,1866.75
722,2012-12-23,1867.73
723,2012-12-24,1868.23
724,2012-12-25,1868.47
725,2012-12-26,1868.79
726,2012-12-27,1869.06
727,2012-12-28,1869.13
728,2012-12-29,1869.06
729,2012-12-30,1868.9
730,2012-12-31,1868.67
731,2013-01-01,1868.39
732,2013-01-02,1868.08
733,2013-01-03,1867.74
734,2013-01-04,1867.38
735,2013-01-05,1867.03
736,2013-01-06,1866.7
737,2013-01-07,1866.38
738,2013-01-08,1866.13
739,2013-01-09,1866.12
740,2013-01-10,1866.2
741,2013-01-11,1866.1
742,2013-01-12,1865.86
743,2013-01-13,1865.57
744,2013-01-14,1865.24
745,2013-01-15,1864.87
746,2013-01-16,1864.53
747,2013-01-17,1864.24
748,2013-01-18,1864.06
749,2013-01-19,1863.94
750,2013-01-20,1863.8
751,2013-01-21,1863.63
752,2013-01-22,1863.46
753,2013-01-23,1863.55
754,2013-01-24,1864.14
755,2013-01-25,1865.0
756,2013-01-26,1866.13
757,2013-01-27,1866.71
758,2013-01-28,1867.21
759,2013-01-29,1867.96
760,2013-01-30,1868.56
761,2013-01-31,1868.99
762,2013-02-01,1869.27
763,2013-02-02,1869.46
764,2013-02-03,1869.59
765,2013-02-04,1869.67
766,2013-02-05,1869.71
767,2013-02-06,1869.69
768,2013-02-07,1869.64
769,2013-02-08,1869.5
770,2013-02-09,1869.3
771,2013-02-10,1869.29
772,2013-02-11,1869.39
773,2013-02-12,1869.46
774,2013-02-13,1869.52
775,2013-02-14,1869.55
776,2013-02-15,1869.59
777,2013-02-16,1869.63
778,2013-02-17,1869.67
779,2013-02-18,1869.69
780,2013-02-19,1869.71
781,2013-02-20,1869.71
782,2013-02-21,1869.73
783,2013-02-22,1869.68
784,2013-02-23,1869.7
785,2013-02-24,1869.69
786,2013-02-25,1869.72
787,2013-02-26,1869.73
788,2013-02-27,1869.72
789,2013-02-28,1869.75
790,2013-03-01,1869.82
791,2013-03-02,1869.92
792,2013-03-03,1870.06
793,2013-03-04,1870.17
794,2013-03-05,1870.29
795,2013-03-06,1870.53
796,2013-03-07,1870.69
797,2013-03-08,1870.79
798,2013-03-09,1870.87
799,2013-03-10,1870.92
800,2013-03-11,1870.97
801,2013-03-12,1871.01
802,2013-03-13,1871.08
803,2013-03-14,1871.15
804,2013-03-15,1871.22
805,2013-03-16,1871.28
806,2013-03-17,1871.37
807,2013-03-18,1871.41
808,2013-03-19,1871.45
809,2013-03-20,1871.59
810,2013-03-21,1871.72
811,2013-03-22,1871.78
812,2013-03-23,1871.82
813,2013-03-24,1871.87
814,2013-03-25,1871.91
815,2013-03-26,1871.96
816,2013-03-27,1872.03
817,2013-03-28,1872.13
818,2013-03-29,1872.2
819,2013-03-30,1872.26
820,2013-03-31,1872.35
821,2013-04-01,1872.68
822,2013-04-02,1872.83
823,2013-04-03,1872.94
824,2013-04-04,1873.07
825,2013-04-05,1873.18
826,2013-04-06,1873.32
827,2013-04-07,1873.58
828,2013-04-08,1873.96
829,2013-04-09,1874.31
830,2013-04-10,1874.56
831,2013-04-11,1874.76
832,2013-04-12,1874.89
833,2013-04-13,1874.97
834,2013-04-14,1875.04
835,2013-04-15,1875.15
836,2013-04-16,1875.22
837,2013-04-17,1875.27
838,2013-04-18,1875.32
839,2013-04-19,1875.38
840,2013-04-20,1875.43
841,2013-04-21,1875.47
842,2013-04-22,1875.5
843,2013-04-23,1875.52
844,2013-04-24,1875.53
845,2013-04-25,1875.52
846,2013-04-26,1875.51
847,2013-04-27,1875.47
848,2013-04-28,1875.44
849,2013-04-29,1875.39
850,2013-04-30,1875.33
851,2013-05-01,1875.28
852,2013-05-02,1875.23
853,2013-05-03,1875.18
854,2013-05-04,1875.14
855,2013-05-05,1875.08
856,2013-05-06,1875.03
857,2013-05-07,1874.98
858,2013-05-08,1874.92
859,2013-05-09,1874.86
860,2013-05-10,1874.79
861,2013-05-11,1874.71
862,2013-05-12,1874.63
863,2013-05-13,1874.54
864,2013-05-14,1874.44
865,2013-05-15,1874.35
866,2013-05-16,1874.29
867,2013-05-17,1874.21
868,2013-05-18,1874.13
869,2013-05-19,1874.05
870,2013-05-20,1873.96
871,2013-05-21,1873.87
872,2013-05-22,1873.8
873,2013-05-23,1873.73
874,2013-05-24,1873.65
875,2013-05-25,1873.57
876,2013-05-26,1873.49
877,2013-05-27,1873.44
878,2013-05-28,1873.35
879,2013-05-29,1873.28
880,2013-05-30,1873.21
881,2013-05-31,1873.11
882,2013-06-01,1873.01
883,2013-06-02,1872.9
884,2013-06-03,1872.8
885,2013-06-04,1872.69
886,2013-06-05,1872.59
887,2013-06-06,1872.49
888,2013-06-07,1872.38
889,2013-06-08,1872.27
890,2013-06-09,1872.16
891,2013-06-10,1872.04
892,2013-06-11,1871.94
893,2013-06-12,1871.83
894,2013-06-13,1871.72
895,2013-06-14,1871.62
896,2013-06-15,1871.53
897,2013-06-16,1871.43
898,2013-06-17,1871.32
899,2013-06-18,1871.24
900,2013-06-19,1871.17
901,2013-06-20,1871.08
902,2013-06-21,1870.96
903,2013-06-22,1870.86
904,2013-06-23,1870.77
905,2013-06-24,1870.7
906,2013-06-25,1870.63
907,2013-06-26,1870.55
908,2013-06-27,1870.46
909,2013-06-28,1870.36
910,2013-06-29,1870.26
911,2013-06-30,1870.14
912,2013-07-01,1870.05
913,2013-07-02,1869.94
914,2013-07-03,1869.83
915,2013-07-04,1869.72
916,2013-07-05,1869.6
917,2013-07-06,1869.49
918,2013-07-07,1869.37
919,2013-07-08,1869.27
920,2013-07-09,1869.15
921,2013-07-10,1869.0
922,2013-07-11,1868.83
923,2013-07-12,1868.66
924,2013-07-13,1868.49
925,2013-07-14,1868.33
926,2013-07-15,1868.16
927,2013-07-16,1867.99
928,2013-07-17,1867.83
929,2013-07-18,1867.65
930,2013-07-19,1867.49
931,2013-07-20,1867.32
932,2013-07-21,1867.14
933,2013-07-22,1866.85
934,2013-07-23,1866.68
935,2013-07-24,1866.5
936,2013-07-25,1866.3
937,2013-07-26,1866.1
938,2013-07-27,1865.89
939,2013-07-28,1865.68
940,2013-07-29,1865.48
941,2013-07-30,1865.28
942,2013-07-31,1865.08
943,2013-08-01,1864.88
944,2013-08-02,1864.69
945,2013-08-03,1864.49
946,2013-08-04,1864.3
947,2013-08-05,1864.1
948,2013-08-06,1863.9
949,2013-08-07,1863.69
950,2013-08-08,1863.5
951,2013-08-09,1863.31
952,2013-08-10,1863.25
953,2013-08-11,1863.07
954,2013-08-12,1862.89
955,2013-08-13,1862.7
956,2013-08-14,1862.5
957,2013-08-15,1862.3
958,2013-08-16,1862.1
959,2013-08-17,1861.9
960,2013-08-18,1861.7
961,2013-08-19,1861.5
962,2013-08-20,1861.29
963,2013-08-21,1861.09
964,2013-08-22,1860.89
965,2013-08-23,1860.69
966,2013-08-24,1860.5
967,2013-08-25,1860.35
968,2013-08-26,1860.17
969,2013-08-27,1859.99
970,2013-08-28,1859.8
971,2013-08-29,1859.66
972,2013-08-30,1859.47
973,2013-08-31,1859.28
974,2013-09-01,1859.08
975,2013-09-02,1858.88
976,2013-09-03,1858.68
977,2013-09-04,1858.48
978,2013-09-05,1858.28
979,2013-09-06,1858.09
980,2013-09-07,1857.9
981,2013-09-08,1857.7
982,2013-09-09,1857.51
983,2013-09-10,1857.32
984,2013-09-11,1857.11
985,2013-09-12,1856.92
986,2013-09-13,1856.72
987,2013-09-14,1856.52
988,2013-09-15,1856.32
989,2013-09-16,1856.08
990,2013-09-17,1855.9
991,2013-09-18,1855.67
992,2013-09-19,1855.42
993,2013-09-20,1855.23
