,datetime,UPPER_KLAMATH_LAKE_NEAR_KLAMATH_FALLS__OR.
343,2011-12-10,8279.46
344,2011-12-11,8279.560000000001
345,2011-12-12,8279.71
346,2011-12-13,8279.51
347,2011-12-14,8279.52
348,2011-12-15,8279.57
349,2011-12-16,8279.57
350,2011-12-17,8279.58
351,2011-12-18,8279.64
352,2011-12-19,8279.66
353,2011-12-20,8279.7
354,2011-12-21,8279.72
355,2011-12-22,8279.77
356,2011-12-23,8279.79
357,2011-12-24,8279.81
358,2011-12-25,8279.84
359,2011-12-26,8279.869999999999
360,2011-12-27,8279.880000000001
361,2011-12-28,8279.91
362,2011-12-29,8279.869999999999
363,2011-12-30,8280.18
364,2011-12-31,8280.26
365,2012-01-01,8280.33
366,2012-01-02,8280.279999999999
367,2012-01-03,8280.369999999999
368,2012-01-04,8280.42
369,2012-01-05,8280.51
370,2012-01-06,8280.43
371,2012-01-07,8280.45
372,2012-01-08,8280.45
373,2012-01-09,8280.45
374,2012-01-10,8280.49
375,2012-01-11,8280.64
376,2012-01-12,8280.560000000001
377,2012-01-13,8280.52
378,2012-01-14,8280.529999999999
379,2012-01-15,8280.71
380,2012-01-16,8280.6
381,2012-01-17,8280.43
382,2012-01-18,8280.470000000001
383,2012-01-19,8280.74
384,2012-01-20,8280.94
385,2012-01-21,8281.189999999999
386,2012-01-22,8281.029999999999
387,2012-01-23,8281.240000000002
388,2012-01-24,8281.2
389,2012-01-25,8281.369999999999
390,2012-01-26,8281.71
391,2012-01-27,8281.75
392,2012-01-28,8281.779999999999
393,2012-01-29,8281.720000000001
394,2012-01-30,8281.880000000001
395,2012-01-31,8281.77
396,2012-02-01,8282.029999999999
397,2012-02-02,8282.08
398,2012-02-03,8282.1
399,2012-02-04,8282.17
400,2012-02-05,8282.17
401,2012-02-06,8282.21
402,2012-02-07,8282.150000000001
403,2012-02-08,8282.34
404,2012-02-09,8282.29
405,2012-02-10,8282.380000000001
406,2012-02-11,8282.57
407,2012-02-12,8282.46
408,2012-02-13,8282.720000000001
409,2012-02-14,8283.01
410,2012-02-15,8282.73
411,2012-02-16,8282.66
412,2012-02-17,8282.67
413,2012-02-18,8282.91
414,2012-02-19,8282.689999999999
415,2012-02-20,8282.82
416,2012-02-21,8282.91
417,2012-02-22,8283.22
418,2012-02-23,8283.099999999999
419,2012-02-24,8283.529999999999
420,2012-02-25,8283.39
421,2012-02-26,8283.400000000001
422,2012-02-27,8283.529999999999
423,2012-02-28,8282.64
424,2012-02-29,8283.279999999999
425,2012-03-01,8283.68
426,2012-03-02,8283.59
427,2012-03-03,8283.64
428,2012-03-04,8283.68
429,2012-03-05,8284.2
430,2012-03-06,8284.21
431,2012-03-07,8283.84
432,2012-03-08,8283.869999999999
433,2012-03-09,8283.79
434,2012-03-10,8283.83
435,2012-03-11,8283.869999999999
436,2012-03-12,8282.54
437,2012-03-13,8283.970000000001
438,2012-03-14,8284.0
439,2012-03-15,8284.25
440,2012-03-16,8283.94
441,2012-03-17,8284.8
442,2012-03-18,8284.95
443,2012-03-19,8284.61
444,2012-03-20,8284.52
445,2012-03-21,8284.57
446,2012-03-22,8285.32
447,2012-03-23,8284.93
448,2012-03-24,8285.25
449,2012-03-25,8285.5
450,2012-03-26,8284.71
451,2012-03-27,8284.73
452,2012-03-28,8285.41
453,2012-03-29,8285.369999999999
454,2012-03-30,8285.58
455,2012-03-31,8285.48
456,2012-04-01,8286.29
457,2012-04-02,8286.2
458,2012-04-03,8286.529999999999
459,2012-04-04,8286.45
460,2012-04-05,8286.529999999999
461,2012-04-06,8286.39
462,2012-04-07,8286.279999999999
463,2012-04-08,8286.11
464,2012-04-09,8286.09
465,2012-04-10,8286.09
466,2012-04-11,8285.96
467,2012-04-12,8285.76
468,2012-04-13,8286.39
469,2012-04-14,8286.36
470,2012-04-15,8286.17
471,2012-04-16,8286.18
472,2012-04-17,8286.08
473,2012-04-18,8286.04
474,2012-04-19,8286.130000000001
475,2012-04-20,8286.3
476,2012-04-21,8286.310000000001
477,2012-04-22,8286.21
478,2012-04-23,8286.15
479,2012-04-24,8286.130000000001
480,2012-04-25,8285.74
481,2012-04-26,8286.25
482,2012-04-27,8286.16
483,2012-04-28,8286.34
484,2012-04-29,8286.28
485,2012-04-30,8286.16
486,2012-05-01,8286.220000000001
487,2012-05-02,8285.810000000001
488,2012-05-03,8285.89
489,2012-05-04,8286.21
490,2012-05-05,8286.01
491,2012-05-06,8286.02
492,2012-05-07,8285.97
493,2012-05-08,8285.939999999999
494,2012-05-09,8286.19
495,2012-05-10,8286.0
496,2012-05-11,8285.720000000001
497,2012-05-12,8285.58
498,2012-05-13,8285.54
499,2012-05-14,8285.53
500,2012-05-15,8285.28
501,2012-05-16,8285.21
502,2012-05-17,8285.25
503,2012-05-18,8285.05
504,2012-05-19,8284.9
505,2012-05-20,8284.71
506,2012-05-21,8284.71
507,2012-05-22,8284.720000000001
508,2012-05-23,8284.79
509,2012-05-24,8284.740000000002
510,2012-05-25,8284.83
511,2012-05-26,8284.720000000001
512,2012-05-27,8284.55
513,2012-05-28,8284.6
514,2012-05-29,8284.53
515,2012-05-30,8284.5
516,2012-05-31,8284.4
517,2012-06-01,8284.48
518,2012-06-02,8284.34
519,2012-06-03,8284.130000000001
520,2012-06-04,8284.130000000001
521,2012-06-05,8284.39
522,2012-06-06,8284.22
523,2012-06-07,8284.18
524,2012-06-08,8284.26
525,2012-06-09,8284.41
526,2012-06-10,8284.18
527,2012-06-11,8284.18
528,2012-06-12,8284.189999999999
529,2012-06-13,8284.2
530,2012-06-14,8284.240000000002
531,2012-06-15,8284.09
532,2012-06-16,8283.82
533,2012-06-17,8283.779999999999
534,2012-06-18,8283.86
535,2012-06-19,8283.52
536,2012-06-20,8283.46
537,2012-06-21,8283.240000000002
538,2012-06-22,8282.91
539,2012-06-23,8283.11
540,2012-06-24,8282.970000000001
541,2012-06-25,8282.84
542,2012-06-26,8283.029999999999
543,2012-06-27,8282.91
544,2012-06-28,8282.69
545,2012-06-29,8282.76
546,2012-06-30,8282.66
547,2012-07-01,8282.650000000001
548,2012-07-02,8282.77
549,2012-07-03,8282.67
550,2012-07-04,8282.55
551,2012-07-05,8282.41
552,2012-07-06,8282.34
553,2012-07-07,8282.189999999999
554,2012-07-08,8282.189999999999
555,2012-07-09,8282.05
556,2012-07-10,8282.080000000002
557,2012-07-11,8281.82
558,2012-07-12,8281.779999999999
559,2012-07-13,8281.76
560,2012-07-14,8281.560000000001
561,2012-07-15,8281.29
562,2012-07-16,8281.57
563,2012-07-17,8281.029999999999
564,2012-07-18,8280.99
565,2012-07-19,8280.630000000001
566,2012-07-20,8280.98
567,2012-07-21,8280.919999999998
568,2012-07-22,8280.9
569,2012-07-23,8281.04
570,2012-07-24,8280.76
571,2012-07-25,8280.6
572,2012-07-26,8280.67
573,2012-07-27,8280.48
574,2012-07-28,8280.33
575,2012-07-29,8280.32
576,2012-07-30,8280.11
577,2012-07-31,8280.05
578,2012-08-01,8279.93
579,2012-08-02,8279.869999999999
580,2012-08-03,8279.89
581,2012-08-04,8279.8
582,2012-08-05,8279.36
583,2012-08-06,8279.369999999999
584,2012-08-07,8279.34
585,2012-08-08,8279.369999999999
586,2012-08-09,8279.28
587,2012-08-10,8279.25
588,2012-08-11,8279.02
589,2012-08-12,8278.89
590,2012-08-13,8278.82
591,2012-08-14,8278.76
592,2012-08-15,8278.64
593,2012-08-16,8278.650000000001
594,2012-08-17,8278.55
595,2012-08-18,8278.49
596,2012-08-19,8278.39
597,2012-08-20,8278.35
598,2012-08-21,8278.4
599,2012-08-22,8278.21
600,2012-08-23,8278.15
601,2012-08-24,8278.07
602,2012-08-25,8277.869999999999
603,2012-08-26,8277.689999999999
604,2012-08-27,8277.46
605,2012-08-28,8277.74
606,2012-08-29,8277.7
607,2012-08-30,8277.51
608,2012-08-31,8277.31
609,2012-09-01,8277.380000000001
610,2012-09-02,8277.470000000001
611,2012-09-03,8277.29
612,2012-09-04,8277.23
613,2012-09-05,8277.01
614,2012-09-06,8276.92
615,2012-09-07,8276.849999999999
616,2012-09-08,8276.880000000001
617,2012-09-09,8276.900000000001
618,2012-09-10,8276.86
619,2012-09-11,8277.01
620,2012-09-12,8276.62
621,2012-09-13,8276.400000000001
622,2012-09-14,8276.27
623,2012-09-15,8276.369999999999
624,2012-09-16,8276.41
625,2012-09-17,8276.279999999999
626,2012-09-18,8276.09
627,2012-09-19,8276.11
628,2012-09-20,8276.01
629,2012-09-21,8276.05
630,2012-09-22,8275.990000000002
631,2012-09-23,8276.19
632,2012-09-24,8275.9
633,2012-09-25,8275.89
634,2012-09-26,8275.77
635,2012-09-27,8275.7
636,2012-09-28,8275.69
637,2012-09-29,8275.71
638,2012-09-30,8275.82
639,2012-10-01,8275.67
640,2012-10-02,8275.71
641,2012-10-03,8276.05
642,2012-10-04,8275.83
643,2012-10-05,8275.8
644,2012-10-06,8275.75
645,2012-10-07,8275.470000000001
646,2012-10-08,8275.23
647,2012-10-09,8275.54
648,2012-10-10,8275.39
649,2012-10-11,8275.380000000001
650,2012-10-12,8275.21
651,2012-10-13,8275.27
652,2012-10-14,8275.26
653,2012-10-15,8275.060000000001
654,2012-10-16,8275.78
655,2012-10-17,8275.59
656,2012-10-18,8275.41
657,2012-10-19,8275.59
658,2012-10-20,8275.7
659,2012-10-21,8275.39
660,2012-10-22,8275.28
661,2012-10-23,8275.14
662,2012-10-24,8275.5
663,2012-10-25,8275.6
664,2012-10-26,8275.6
665,2012-10-27,8275.67
666,2012-10-28,8275.71
667,2012-10-29,8275.82
668,2012-10-30,8275.58
669,2012-10-31,8275.2
670,2012-11-01,8275.86
671,2012-11-02,8275.900000000001
672,2012-11-03,8275.92
673,2012-11-04,8276.01
674,2012-11-05,8276.02
675,2012-11-06,8276.0
676,2012-11-07,8276.33
677,2012-11-08,8276.04
678,2012-11-09,8276.02
679,2012-11-10,8276.060000000001
680,2012-11-11,8275.970000000001
681,2012-11-12,8275.99
682,2012-11-13,8276.2
683,2012-11-14,8276.29
684,2012-11-15,8276.3
685,2012-11-16,8275.95
686,2012-11-17,8276.09
687,2012-11-18,8275.64
688,2012-11-19,8275.11
689,2012-11-20,8276.09
690,2012-11-21,8276.42
691,2012-11-22,8276.64
692,2012-11-23,8276.54
693,2012-11-24,8276.62
694,2012-11-25,8276.91
695,2012-11-26,8276.869999999999
696,2012-11-27,8276.65
697,2012-11-28,8276.08
698,2012-11-29,8276.24
699,2012-11-30,8276.52
700,2012-12-01,8276.02
701,2012-12-02,8277.21
702,2012-12-03,8277.08
703,2012-12-04,8277.3
704,2012-12-05,8277.8
705,2012-12-06,8277.98
706,2012-12-07,8278.01
707,2012-12-08,8278.27
708,2012-12-09,8278.26
709,2012-12-10,8278.36
710,2012-12-11,8278.34
711,2012-12-12,8278.69
712,2012-12-13,8278.68
713,2012-12-14,8278.56
714,2012-12-15,8278.49
715,2012-12-16,8278.41
716,2012-12-17,8278.98
717,2012-12-18,8279.01
718,2012-12-19,8278.8
719,2012-12-20,8278.76
720,2012-12-21,8279.09
721,2012-12-22,8279.2
722,2012-12-23,8279.42
723,2012-12-24,8279.45
724,2012-12-25,8279.52
725,2012-12-26,8279.57
726,2012-12-27,8279.6
727,2012-12-28,8279.66
728,2012-12-29,8279.720000000001
729,2012-12-30,8279.74
730,2012-12-31,8279.77
731,2013-01-01,8279.81
732,2013-01-02,8279.83
733,2013-01-03,8279.85
734,2013-01-04,8279.89
735,2013-01-05,8279.92
736,2013-01-06,8279.95
737,2013-01-07,8279.98
738,2013-01-08,8280.03
739,2013-01-09,8280.1
740,2013-01-10,8280.12
741,2013-01-11,8280.17
742,2013-01-12,8280.21
743,2013-01-13,8280.22
744,2013-01-14,8280.23
745,2013-01-15,8280.2
746,2013-01-16,8280.21
747,2013-01-17,8280.21
748,2013-01-18,8280.23
749,2013-01-19,8280.25
750,2013-01-20,8280.27
751,2013-01-21,8280.28
752,2013-01-22,8280.31
753,2013-01-23,8280.34
754,2013-01-24,8280.42
755,2013-01-25,8280.49
756,2013-01-26,8280.59
757,2013-01-27,8280.64
758,2013-01-28,8280.7
759,2013-01-29,8280.79
760,2013-01-30,8280.86
761,2013-01-31,8280.93
762,2013-02-01,8280.98
763,2013-02-02,8281.04
764,2013-02-03,8281.09
765,2013-02-04,8281.16
766,2013-02-05,8281.21
767,2013-02-06,8281.24
768,2013-02-07,8281.34
769,2013-02-08,8281.41
770,2013-02-09,8281.45
771,2013-02-10,8281.5
772,2013-02-11,8281.57
773,2013-02-12,8281.61
774,2013-02-13,8281.67
775,2013-02-14,8281.69
776,2013-02-15,8281.75
777,2013-02-16,8281.8
778,2013-02-17,8281.86
779,2013-02-18,8281.91
780,2013-02-19,8281.99
781,2013-02-20,8282.060000000001
782,2013-02-21,8282.119999999999
783,2013-02-22,8282.18
784,2013-02-23,8282.27
785,2013-02-24,8282.31
786,2013-02-25,8282.369999999999
787,2013-02-26,8282.439999999999
788,2013-02-27,8282.49
789,2013-02-28,8282.55
790,2013-03-01,8282.59
791,2013-03-02,8282.62
792,2013-03-03,8282.67
793,2013-03-04,8282.7
794,2013-03-05,8282.630000000001
795,2013-03-06,8282.78
796,2013-03-07,8282.95
797,2013-03-08,8283.080000000002
798,2013-03-09,8282.96
799,2013-03-10,8282.99
800,2013-03-11,8283.080000000002
801,2013-03-12,8283.05
802,2013-03-13,8283.11
803,2013-03-14,8283.119999999999
804,2013-03-15,8283.23
805,2013-03-16,8283.369999999999
806,2013-03-17,8283.439999999999
807,2013-03-18,8283.369999999999
808,2013-03-19,8283.04
809,2013-03-20,8283.45
810,2013-03-21,8283.68
811,2013-03-22,8283.71
812,2013-03-23,8283.64
813,2013-03-24,8283.68
814,2013-03-25,8283.650000000001
815,2013-03-26,8283.720000000001
816,2013-03-27,8283.66
817,2013-03-28,8283.74
818,2013-03-29,8283.94
819,2013-03-30,8283.869999999999
820,2013-03-31,8283.86
821,2013-04-01,8284.02
822,2013-04-02,8284.07
823,2013-04-03,8284.060000000001
824,2013-04-04,8283.85
825,2013-04-05,8283.95
826,2013-04-06,8284.05
827,2013-04-07,8285.02
828,2013-04-08,8284.810000000001
829,2013-04-09,8284.630000000001
830,2013-04-10,8284.68
831,2013-04-11,8284.81
832,2013-04-12,8284.82
833,2013-04-13,8284.91
834,2013-04-14,8284.93
835,2013-04-15,8285.21
836,2013-04-16,8284.92
837,2013-04-17,8284.880000000001
838,2013-04-18,8284.82
839,2013-04-19,8284.98
840,2013-04-20,8284.86
841,2013-04-21,8284.92
842,2013-04-22,8284.96
843,2013-04-23,8285.11
844,2013-04-24,8284.95
845,2013-04-25,8284.84
846,2013-04-26,8284.869999999999
847,2013-04-27,8284.91
848,2013-04-28,8284.89
849,2013-04-29,8284.96
850,2013-04-30,8284.96
851,2013-05-01,8284.599999999999
852,2013-05-02,8284.75
853,2013-05-03,8284.81
854,2013-05-04,8284.59
855,2013-05-05,8284.400000000001
856,2013-05-06,8284.57
857,2013-05-07,8284.55
858,2013-05-08,8284.54
859,2013-05-09,8284.45
860,2013-05-10,8284.52
861,2013-05-11,8284.45
862,2013-05-12,8284.439999999999
863,2013-05-13,8284.45
864,2013-05-14,8284.490000000002
865,2013-05-15,8284.39
866,2013-05-16,8284.400000000001
867,2013-05-17,8284.369999999999
868,2013-05-18,8284.32
869,2013-05-19,8284.39
870,2013-05-20,8284.33
871,2013-05-21,8284.24
872,2013-05-22,8284.24
873,2013-05-23,8284.27
874,2013-05-24,8284.2
875,2013-05-25,8283.99
876,2013-05-26,8283.96
877,2013-05-27,8283.939999999999
878,2013-05-28,8283.830000000002
879,2013-05-29,8284.09
880,2013-05-30,8284.21
881,2013-05-31,8284.18
882,2013-06-01,8284.1
883,2013-06-02,8284.12
884,2013-06-03,8283.96
885,2013-06-04,8283.89
886,2013-06-05,8283.82
887,2013-06-06,8283.75
888,2013-06-07,8283.77
889,2013-06-08,8283.68
890,2013-06-09,8283.630000000001
891,2013-06-10,8283.54
892,2013-06-11,8283.6
893,2013-06-12,8283.45
894,2013-06-13,8283.23
895,2013-06-14,8283.1
896,2013-06-15,8282.99
897,2013-06-16,8282.86
898,2013-06-17,8282.89
899,2013-06-18,8283.029999999999
900,2013-06-19,8282.73
901,2013-06-20,8282.52
902,2013-06-21,8282.49
903,2013-06-22,8282.34
904,2013-06-23,8282.2
905,2013-06-24,8281.82
906,2013-06-25,8281.99
907,2013-06-26,8282.05
908,2013-06-27,8282.21
909,2013-06-28,8282.42
910,2013-06-29,8282.259999999998
911,2013-06-30,8282.24
912,2013-07-01,8282.130000000001
913,2013-07-02,8282.05
914,2013-07-03,8282.16
915,2013-07-04,8282.279999999999
916,2013-07-05,8282.24
917,2013-07-06,8281.95
918,2013-07-07,8281.75
919,2013-07-08,8281.67
920,2013-07-09,8281.46
921,2013-07-10,8281.48
922,2013-07-11,8281.42
923,2013-07-12,8281.41
924,2013-07-13,8281.34
925,2013-07-14,8281.27
926,2013-07-15,8281.12
927,2013-07-16,8280.96
928,2013-07-17,8280.95
929,2013-07-18,8281.0
930,2013-07-19,8280.88
931,2013-07-20,8280.7
932,2013-07-21,8280.62
933,2013-07-22,8280.61
934,2013-07-23,8280.42
935,2013-07-24,8280.39
936,2013-07-25,8280.21
937,2013-07-26,8280.11
938,2013-07-27,8280.42
939,2013-07-28,8280.130000000001
940,2013-07-29,8279.970000000001
941,2013-07-30,8279.9
942,2013-07-31,8279.84
943,2013-08-01,8279.79
944,2013-08-02,8279.83
945,2013-08-03,8279.7
946,2013-08-04,8279.6
947,2013-08-05,8279.52
948,2013-08-06,8279.55
949,2013-08-07,8279.650000000001
950,2013-08-08,8279.240000000002
951,2013-08-09,8279.28
952,2013-08-10,8279.18
953,2013-08-11,8279.22
954,2013-08-12,8279.24
