,datetime,LAKE_TAHOE_A_TAHOE_CITY_CA.
298,2011-10-26,7.46
299,2011-10-27,7.45
300,2011-10-28,7.44
301,2011-10-29,7.44
302,2011-10-30,7.44
303,2011-10-31,7.43
304,2011-11-01,7.41
305,2011-11-02,7.38
306,2011-11-03,7.42
307,2011-11-04,7.37
308,2011-11-05,7.34
309,2011-11-06,7.34
310,2011-11-07,7.32
311,2011-11-08,7.32
312,2011-11-09,7.32
313,2011-11-10,7.3
314,2011-11-11,7.29
315,2011-11-12,7.3
316,2011-11-13,7.27
317,2011-11-14,7.28
318,2011-11-15,7.26
319,2011-11-16,7.25
320,2011-11-17,7.24
321,2011-11-18,7.19
322,2011-11-19,7.21
323,2011-11-20,7.21
324,2011-11-21,7.18
325,2011-11-22,7.17
326,2011-11-23,7.14
327,2011-11-24,7.14
328,2011-11-25,7.13
329,2011-11-26,7.12
330,2011-11-27,7.1
331,2011-11-28,7.13
332,2011-11-29,7.12
333,2011-11-30,7.09
334,2011-12-01,7.13
335,2011-12-02,7.05
336,2011-12-03,7.03
337,2011-12-04,7.02
338,2011-12-05,6.99
339,2011-12-06,6.98
340,2011-12-07,6.98
341,2011-12-08,6.98
342,2011-12-09,6.97
343,2011-12-10,6.97
344,2011-12-11,6.96
345,2011-12-12,6.96
346,2011-12-13,6.94
347,2011-12-14,6.91
348,2011-12-15,6.93
349,2011-12-16,6.92
350,2011-12-17,6.89
351,2011-12-18,6.88
352,2011-12-19,6.88
353,2011-12-20,6.86
354,2011-12-21,6.86
355,2011-12-22,6.82
356,2011-12-23,6.81
357,2011-12-24,6.81
358,2011-12-25,6.8
359,2011-12-26,6.78
360,2011-12-27,6.79
361,2011-12-28,6.77
362,2011-12-29,6.77
363,2011-12-30,6.76
364,2011-12-31,6.77
365,2012-01-01,6.75
366,2012-01-02,6.74
367,2012-01-03,6.74
368,2012-01-04,6.73
369,2012-01-05,6.72
370,2012-01-06,6.72
371,2012-01-07,6.71
372,2012-01-08,6.69
373,2012-01-09,6.68
374,2012-01-10,6.67
375,2012-01-11,6.68
376,2012-01-12,6.66
377,2012-01-13,6.65
378,2012-01-14,6.65
379,2012-01-15,6.61
380,2012-01-16,6.6
381,2012-01-17,6.57
382,2012-01-18,6.56
383,2012-01-19,6.55
384,2012-01-20,6.68
385,2012-01-21,6.77
386,2012-01-22,6.83
387,2012-01-23,6.91
388,2012-01-24,6.92
389,2012-01-25,6.91
390,2012-01-26,6.91
391,2012-01-27,6.9
392,2012-01-28,6.9
393,2012-01-29,6.9
394,2012-01-30,6.91
395,2012-01-31,6.9
396,2012-02-01,6.91
397,2012-02-02,6.89
398,2012-02-03,6.88
399,2012-02-04,6.88
400,2012-02-05,6.86
401,2012-02-06,6.86
402,2012-02-07,6.86
403,2012-02-08,6.85
404,2012-02-09,6.85
405,2012-02-10,6.83
406,2012-02-11,6.83
407,2012-02-12,6.83
408,2012-02-13,6.83
409,2012-02-14,6.84
410,2012-02-15,6.84
411,2012-02-16,6.82
412,2012-02-17,6.82
413,2012-02-18,6.8
414,2012-02-19,6.78
415,2012-02-20,6.79
416,2012-02-21,6.79
417,2012-02-22,6.79
418,2012-02-23,6.77
419,2012-02-24,6.77
420,2012-02-25,6.75
421,2012-02-26,6.74
422,2012-02-27,6.81
423,2012-02-28,6.8
424,2012-02-29,6.82
425,2012-03-01,6.83
426,2012-03-02,6.82
427,2012-03-03,6.81
428,2012-03-04,6.81
429,2012-03-05,6.8
430,2012-03-06,6.8
431,2012-03-07,6.79
432,2012-03-08,6.78
433,2012-03-09,6.77
434,2012-03-10,6.76
435,2012-03-11,6.76
436,2012-03-12,6.74
437,2012-03-13,6.75
438,2012-03-14,6.77
439,2012-03-15,6.79
440,2012-03-16,6.96
441,2012-03-17,7.02
442,2012-03-18,7.02
443,2012-03-19,7.02
444,2012-03-20,7.02
445,2012-03-21,7.02
446,2012-03-22,7.02
447,2012-03-23,7.02
448,2012-03-24,7.01
449,2012-03-25,7.01
450,2012-03-26,7.0
451,2012-03-27,7.02
452,2012-03-28,7.07
453,2012-03-29,7.06
454,2012-03-30,7.06
455,2012-03-31,7.13
456,2012-04-01,7.12
457,2012-04-02,7.12
458,2012-04-03,7.13
459,2012-04-04,7.12
460,2012-04-05,7.12
461,2012-04-06,7.11
462,2012-04-07,7.11
463,2012-04-08,7.11
464,2012-04-09,7.12
465,2012-04-10,7.11
466,2012-04-11,7.12
467,2012-04-12,7.16
468,2012-04-13,7.15
469,2012-04-14,7.15
470,2012-04-15,7.16
471,2012-04-16,7.16
472,2012-04-17,7.16
473,2012-04-18,7.16
474,2012-04-19,7.17
475,2012-04-20,7.19
476,2012-04-21,7.21
477,2012-04-22,7.22
478,2012-04-23,7.25
479,2012-04-24,7.27
480,2012-04-25,7.31
481,2012-04-26,7.38
482,2012-04-27,7.41
483,2012-04-28,7.42
484,2012-04-29,7.44
485,2012-04-30,7.44
486,2012-05-01,7.46
487,2012-05-02,7.47
488,2012-05-03,7.47
489,2012-05-04,7.48
490,2012-05-05,7.49
491,2012-05-06,7.49
492,2012-05-07,7.49
493,2012-05-08,7.51
494,2012-05-09,7.51
495,2012-05-10,7.52
496,2012-05-11,7.53
497,2012-05-12,7.55
498,2012-05-13,7.56
499,2012-05-14,7.57
500,2012-05-15,7.59
501,2012-05-16,7.59
502,2012-05-17,7.58
503,2012-05-18,7.61
504,2012-05-19,7.61
505,2012-05-20,7.62
506,2012-05-21,7.61
507,2012-05-22,7.62
508,2012-05-23,7.62
509,2012-05-24,7.61
510,2012-05-25,7.63
511,2012-05-26,7.63
512,2012-05-27,7.63
513,2012-05-28,7.63
514,2012-05-29,7.64
515,2012-05-30,7.64
516,2012-05-31,7.65
517,2012-06-01,7.65
518,2012-06-02,7.64
519,2012-06-03,7.64
520,2012-06-04,7.66
521,2012-06-05,7.68
522,2012-06-06,7.67
523,2012-06-07,7.64
524,2012-06-08,7.63
525,2012-06-09,7.66
526,2012-06-10,7.63
527,2012-06-11,7.63
528,2012-06-12,7.64
529,2012-06-13,7.63
530,2012-06-14,7.62
531,2012-06-15,7.62
532,2012-06-16,7.61
533,2012-06-17,7.61
534,2012-06-18,7.58
535,2012-06-19,7.58
536,2012-06-20,7.57
537,2012-06-21,7.54
538,2012-06-22,7.53
539,2012-06-23,7.53
540,2012-06-24,7.5
541,2012-06-25,7.43
542,2012-06-26,7.47
543,2012-06-27,7.44
544,2012-06-28,7.44
545,2012-06-29,7.43
546,2012-06-30,7.41
547,2012-07-01,7.42
548,2012-07-02,7.4
549,2012-07-03,7.4
550,2012-07-04,7.38
551,2012-07-05,7.37
552,2012-07-06,7.36
553,2012-07-07,7.35
554,2012-07-08,7.34
555,2012-07-09,7.32
556,2012-07-10,7.32
557,2012-07-11,7.3
558,2012-07-12,7.29
559,2012-07-13,7.27
560,2012-07-14,7.26
561,2012-07-15,7.24
562,2012-07-16,7.2
563,2012-07-17,7.18
564,2012-07-18,7.16
565,2012-07-19,7.16
566,2012-07-20,7.13
567,2012-07-21,7.14
568,2012-07-22,7.11
569,2012-07-23,7.14
570,2012-07-24,7.12
571,2012-07-25,7.11
572,2012-07-26,7.09
573,2012-07-27,7.06
574,2012-07-28,7.06
575,2012-07-29,7.04
576,2012-07-30,7.04
577,2012-07-31,7.01
578,2012-08-01,7.01
579,2012-08-02,6.99
580,2012-08-03,6.98
581,2012-08-04,6.96
582,2012-08-05,6.95
583,2012-08-06,6.93
584,2012-08-07,6.91
585,2012-08-08,6.9
586,2012-08-09,6.88
587,2012-08-10,6.87
588,2012-08-11,6.86
589,2012-08-12,6.85
590,2012-08-13,6.84
591,2012-08-14,6.82
592,2012-08-15,6.81
593,2012-08-16,6.81
594,2012-08-17,6.79
595,2012-08-18,6.77
596,2012-08-19,6.76
597,2012-08-20,6.73
598,2012-08-21,6.7
599,2012-08-22,6.69
600,2012-08-23,6.67
601,2012-08-24,6.65
602,2012-08-25,6.63
603,2012-08-26,6.6
604,2012-08-27,6.57
605,2012-08-28,6.54
606,2012-08-29,6.52
607,2012-08-30,6.5
608,2012-08-31,6.46
609,2012-09-01,6.43
610,2012-09-02,6.43
611,2012-09-03,6.41
612,2012-09-04,6.4
613,2012-09-05,6.4
614,2012-09-06,6.39
615,2012-09-07,6.38
616,2012-09-08,6.38
617,2012-09-09,6.35
618,2012-09-10,6.33
619,2012-09-11,6.33
620,2012-09-12,6.32
621,2012-09-13,6.29
622,2012-09-14,6.31
623,2012-09-15,6.27
624,2012-09-16,6.24
625,2012-09-17,6.22
626,2012-09-18,6.22
627,2012-09-19,6.19
628,2012-09-20,6.19
629,2012-09-21,6.18
630,2012-09-22,6.16
631,2012-09-23,6.12
632,2012-09-24,6.1
633,2012-09-25,6.11
634,2012-09-26,6.06
635,2012-09-27,6.05
636,2012-09-28,6.05
637,2012-09-29,6.04
638,2012-09-30,6.03
639,2012-10-01,6.04
640,2012-10-02,6.01
641,2012-10-03,6.0
642,2012-10-04,5.98
643,2012-10-05,5.96
644,2012-10-06,5.93
645,2012-10-07,5.92
646,2012-10-08,5.91
647,2012-10-09,5.87
648,2012-10-10,5.86
649,2012-10-11,5.83
650,2012-10-12,5.83
651,2012-10-13,5.82
652,2012-10-14,5.8
653,2012-10-15,5.79
654,2012-10-16,5.77
655,2012-10-17,5.77
656,2012-10-18,5.74
657,2012-10-19,5.72
658,2012-10-20,5.71
659,2012-10-21,5.7
660,2012-10-22,5.66
661,2012-10-23,5.66
662,2012-10-24,5.66
663,2012-10-25,5.64
664,2012-10-26,5.62
665,2012-10-27,5.61
666,2012-10-28,5.61
667,2012-10-29,5.58
668,2012-10-30,5.59
669,2012-10-31,5.56
670,2012-11-01,5.57
671,2012-11-02,5.55
672,2012-11-03,5.55
673,2012-11-04,5.55
674,2012-11-05,5.53
675,2012-11-06,5.53
676,2012-11-07,5.5
677,2012-11-08,5.53
678,2012-11-09,5.46
679,2012-11-10,5.47
680,2012-11-11,5.46
681,2012-11-12,5.43
682,2012-11-13,5.44
683,2012-11-14,5.42
684,2012-11-15,5.41
685,2012-11-16,5.4
686,2012-11-17,5.44
687,2012-11-18,5.46
688,2012-11-19,5.43
689,2012-11-20,5.42
690,2012-11-21,5.42
691,2012-11-22,5.41
692,2012-11-23,5.4
693,2012-11-24,5.4
694,2012-11-25,5.39
695,2012-11-26,5.39
696,2012-11-27,5.38
697,2012-11-28,5.37
698,2012-11-29,5.39
699,2012-11-30,5.61
700,2012-12-01,5.61
701,2012-12-02,5.81
702,2012-12-03,5.81
703,2012-12-04,5.79
704,2012-12-05,5.91
705,2012-12-06,5.93
706,2012-12-07,5.93
707,2012-12-08,5.94
708,2012-12-09,5.94
709,2012-12-10,5.94
710,2012-12-11,5.91
711,2012-12-12,5.96
712,2012-12-13,5.95
713,2012-12-14,5.93
714,2012-12-15,5.91
715,2012-12-16,5.92
716,2012-12-17,5.96
717,2012-12-18,5.96
718,2012-12-19,5.95
719,2012-12-20,5.92
720,2012-12-21,5.95
721,2012-12-22,6.04
722,2012-12-23,6.11
723,2012-12-24,6.1
724,2012-12-25,6.16
725,2012-12-26,6.18
726,2012-12-27,6.19
727,2012-12-28,6.17
728,2012-12-29,6.17
729,2012-12-30,6.18
730,2012-12-31,6.16
731,2013-01-01,6.14
732,2013-01-02,6.14
733,2013-01-03,6.14
734,2013-01-04,6.13
735,2013-01-05,6.13
736,2013-01-06,6.12
737,2013-01-07,6.12
738,2013-01-08,6.13
739,2013-01-09,6.14
740,2013-01-10,6.13
741,2013-01-11,6.11
742,2013-01-12,6.1
743,2013-01-13,6.08
744,2013-01-14,6.06
745,2013-01-15,6.05
746,2013-01-16,6.05
747,2013-01-17,6.04
748,2013-01-18,6.04
749,2013-01-19,6.04
750,2013-01-20,6.04
751,2013-01-21,6.04
752,2013-01-22,6.03
753,2013-01-23,6.02
754,2013-01-24,6.04
755,2013-01-25,6.03
756,2013-01-26,6.04
757,2013-01-27,6.03
758,2013-01-28,6.02
759,2013-01-29,6.02
760,2013-01-30,6.02
761,2013-01-31,6.02
762,2013-02-01,6.02
763,2013-02-02,6.01
764,2013-02-03,6.01
765,2013-02-04,5.98
766,2013-02-05,5.96
767,2013-02-06,5.96
768,2013-02-07,5.95
769,2013-02-08,5.94
770,2013-02-09,5.94
771,2013-02-10,5.95
772,2013-02-11,5.92
773,2013-02-12,5.91
774,2013-02-13,5.91
775,2013-02-14,5.9
776,2013-02-15,5.9
777,2013-02-16,5.9
778,2013-02-17,5.9
779,2013-02-18,5.9
780,2013-02-19,5.88
781,2013-02-20,5.87
782,2013-02-21,5.86
783,2013-02-22,5.87
784,2013-02-23,5.85
785,2013-02-24,5.84
786,2013-02-25,5.83
787,2013-02-26,5.82
788,2013-02-27,5.82
789,2013-02-28,5.82
790,2013-03-01,5.82
791,2013-03-02,5.81
792,2013-03-03,5.84
793,2013-03-04,5.84
794,2013-03-05,5.82
795,2013-03-06,5.86
796,2013-03-07,5.87
797,2013-03-08,5.87
798,2013-03-09,5.86
799,2013-03-10,5.86
800,2013-03-11,5.86
801,2013-03-12,5.86
802,2013-03-13,5.86
803,2013-03-14,5.87
804,2013-03-15,5.87
805,2013-03-16,5.87
806,2013-03-17,5.87
807,2013-03-18,5.87
808,2013-03-19,5.87
809,2013-03-20,5.89
810,2013-03-21,5.9
811,2013-03-22,5.9
812,2013-03-23,5.9
813,2013-03-24,5.9
814,2013-03-25,5.89
815,2013-03-26,5.89
816,2013-03-27,5.9
817,2013-03-28,5.91
818,2013-03-29,5.92
819,2013-03-30,5.93
820,2013-03-31,5.95
821,2013-04-01,5.96
822,2013-04-02,5.96
823,2013-04-03,5.97
824,2013-04-04,5.98
825,2013-04-05,5.97
826,2013-04-06,5.98
827,2013-04-07,5.99
828,2013-04-08,5.98
829,2013-04-09,5.99
830,2013-04-10,5.98
831,2013-04-11,5.98
832,2013-04-12,5.99
833,2013-04-13,5.98
834,2013-04-14,5.98
835,2013-04-15,6.01
836,2013-04-16,5.99
837,2013-04-17,6.0
838,2013-04-18,6.0
839,2013-04-19,6.0
840,2013-04-20,6.0
841,2013-04-21,6.01
842,2013-04-22,6.01
843,2013-04-23,6.01
844,2013-04-24,6.01
845,2013-04-25,6.01
846,2013-04-26,6.02
847,2013-04-27,6.02
848,2013-04-28,6.03
849,2013-04-29,6.03
850,2013-04-30,6.07
851,2013-05-01,6.07
852,2013-05-02,6.06
853,2013-05-03,6.06
854,2013-05-04,6.08
855,2013-05-05,6.08
856,2013-05-06,6.17
857,2013-05-07,6.22
858,2013-05-08,6.24
859,2013-05-09,6.25
860,2013-05-10,6.27
861,2013-05-11,6.28
862,2013-05-12,6.29
863,2013-05-13,6.29
864,2013-05-14,6.31
865,2013-05-15,6.3
866,2013-05-16,6.31
867,2013-05-17,6.31
868,2013-05-18,6.32
869,2013-05-19,6.32
870,2013-05-20,6.32
871,2013-05-21,6.29
872,2013-05-22,6.3
873,2013-05-23,6.29
874,2013-05-24,6.29
875,2013-05-25,6.29
876,2013-05-26,6.28
877,2013-05-27,6.28
878,2013-05-28,6.3
879,2013-05-29,6.3
880,2013-05-30,6.29
881,2013-05-31,6.3
882,2013-06-01,6.3
883,2013-06-02,6.3
884,2013-06-03,6.3
885,2013-06-04,6.31
886,2013-06-05,6.31
887,2013-06-06,6.31
888,2013-06-07,6.31
889,2013-06-08,6.31
890,2013-06-09,6.32
891,2013-06-10,6.32
892,2013-06-11,6.3
893,2013-06-12,6.29
894,2013-06-13,6.28
895,2013-06-14,6.28
896,2013-06-15,6.27
897,2013-06-16,6.27
898,2013-06-17,6.22
899,2013-06-18,6.19
900,2013-06-19,6.18
901,2013-06-20,6.15
902,2013-06-21,6.16
903,2013-06-22,6.15
904,2013-06-23,6.12
905,2013-06-24,6.15
906,2013-06-25,6.14
907,2013-06-26,6.14
908,2013-06-27,6.15
909,2013-06-28,6.16
910,2013-06-29,6.15
911,2013-06-30,6.14
912,2013-07-01,6.14
913,2013-07-02,6.14
914,2013-07-03,6.13
915,2013-07-04,6.12
916,2013-07-05,6.09
917,2013-07-06,6.08
918,2013-07-07,6.06
919,2013-07-08,6.05
920,2013-07-09,6.02
921,2013-07-10,6.01
922,2013-07-11,6.0
923,2013-07-12,5.97
924,2013-07-13,5.97
925,2013-07-14,5.95
926,2013-07-15,5.95
927,2013-07-16,5.91
928,2013-07-17,5.91
929,2013-07-18,5.9
930,2013-07-19,5.89
931,2013-07-20,5.89
932,2013-07-21,5.87
933,2013-07-22,5.85
934,2013-07-23,5.85
935,2013-07-24,5.84
936,2013-07-25,5.84
937,2013-07-26,5.82
938,2013-07-27,5.82
939,2013-07-28,5.79
940,2013-07-29,5.76
941,2013-07-30,5.75
942,2013-07-31,5.72
943,2013-08-01,5.69
944,2013-08-02,5.66
945,2013-08-03,5.65
946,2013-08-04,5.62
947,2013-08-05,5.61
948,2013-08-06,5.58
949,2013-08-07,5.55
950,2013-08-08,5.53
951,2013-08-09,5.51
952,2013-08-10,5.48
953,2013-08-11,5.47
954,2013-08-12,5.45
955,2013-08-13,5.43
956,2013-08-14,5.41
957,2013-08-15,5.4
958,2013-08-16,5.38
959,2013-08-17,5.37
960,2013-08-18,5.36
961,2013-08-19,5.34
962,2013-08-20,5.34
963,2013-08-21,5.32
964,2013-08-22,5.32
965,2013-08-23,5.29
966,2013-08-24,5.27
967,2013-08-25,5.25
968,2013-08-26,5.22
969,2013-08-27,5.19
970,2013-08-28,5.19
971,2013-08-29,5.17
972,2013-08-30,5.15
973,2013-08-31,5.13
974,2013-09-01,5.12
975,2013-09-02,5.1
976,2013-09-03,5.08
977,2013-09-04,5.06
978,2013-09-05,5.04
979,2013-09-06,5.0
980,2013-09-07,5.0
981,2013-09-08,4.99
982,2013-09-09,4.98
983,2013-09-10,4.96
984,2013-09-11,4.95
985,2013-09-12,4.95
986,2013-09-13,4.95
987,2013-09-14,4.94
988,2013-09-15,4.91
989,2013-09-16,4.89
990,2013-09-17,4.88
991,2013-09-18,4.83
992,2013-09-19,4.79
993,2013-09-20,4.78
994,2013-09-21,4.8
995,2013-09-22,4.74
996,2013-09-23,4.73
997,2013-09-24,4.72
998,2013-09-25,4.65
999,2013-09-26,4.65
1000,2013-09-27,4.62
1001,2013-09-28,4.6
1002,2013-09-29,4.58
1003,2013-09-30,4.53
1004,2013-10-01,4.53
1005,2013-10-02,4.48
1006,2013-10-03,4.49
1007,2013-10-04,4.43
1008,2013-10-05,4.42
1009,2013-10-06,4.4
1010,2013-10-07,4.38
1011,2013-10-08,4.38
1012,2013-10-09,4.35
1013,2013-10-10,4.34
1014,2013-10-11,4.33
1015,2013-10-12,4.32
1016,2013-10-13,4.3
1017,2013-10-14,4.31
1018,2013-10-15,4.27
1019,2013-10-16,4.26
1020,2013-10-17,4.25
1021,2013-10-18,4.24
1022,2013-10-19,4.23
1023,2013-10-20,4.23
1024,2013-10-21,4.22
1025,2013-10-22,4.22
1026,2013-10-23,4.21
1027,2013-10-24,4.2
1028,2013-10-25,4.2
1029,2013-10-26,4.19
1030,2013-10-27,4.12
1031,2013-10-28,4.18
1032,2013-10-29,4.16
1033,2013-10-30,4.15
1034,2013-10-31,4.13
1035,2013-11-01,4.13
1036,2013-11-02,4.11
1037,2013-11-03,4.1
1038,2013-11-04,4.07
1039,2013-11-05,4.06
1040,2013-11-06,4.05
1041,2013-11-07,4.03
1042,2013-11-08,4.03
1043,2013-11-09,4.02
1044,2013-11-10,4.02
1045,2013-11-11,4.01
1046,2013-11-12,4.01
1047,2013-11-13,4.01
1048,2013-11-14,3.98
1049,2013-11-15,3.97
1050,2013-11-16,3.95
1051,2013-11-17,3.95
1052,2013-11-18,3.92
1053,2013-11-19,3.92
1054,2013-11-20,3.93
1055,2013-11-21,3.95
1056,2013-11-22,3.89
1057,2013-11-23,3.86
1058,2013-11-24,3.84
1059,2013-11-25,3.83
1060,2013-11-26,3.83
1061,2013-11-27,3.81
1062,2013-11-28,3.81
1063,2013-11-29,3.8
1064,2013-11-30,3.79
1065,2013-12-01,3.79
