,datetime,UPPER_KLAMATH_LAKE_NR_K.FALLS(WEIGHT-MEAN_ELEV)_OR.
201,2011-07-21,8284.95
202,2011-07-22,8284.89
203,2011-07-23,8284.84
204,2011-07-24,8284.75
205,2011-07-25,8284.73
206,2011-07-26,8284.69
207,2011-07-27,8284.58
208,2011-07-28,8284.53
209,2011-07-29,8284.45
210,2011-07-30,8284.35
211,2011-07-31,8284.25
212,2011-08-01,8284.16
213,2011-08-02,8284.09
214,2011-08-03,8284.03
215,2011-08-04,8283.97
216,2011-08-05,8283.9
217,2011-08-06,8283.83
218,2011-08-07,8283.77
219,2011-08-08,8283.71
220,2011-08-09,8283.630000000001
221,2011-08-10,8283.55
222,2011-08-11,8283.45
223,2011-08-12,8283.369999999999
224,2011-08-13,8283.27
225,2011-08-14,8283.19
226,2011-08-15,8283.11
227,2011-08-16,8283.03
228,2011-08-17,8282.95
229,2011-08-18,8282.869999999999
230,2011-08-19,8282.82
231,2011-08-20,8282.73
232,2011-08-21,8282.59
233,2011-08-22,8282.47
234,2011-08-23,8282.43
235,2011-08-24,8282.33
236,2011-08-25,8282.25
237,2011-08-26,8282.17
238,2011-08-27,8282.11
239,2011-08-28,8282.05
240,2011-08-29,8281.99
241,2011-08-30,8281.91
242,2011-08-31,8281.85
243,2011-09-01,8281.77
244,2011-09-02,8281.630000000001
245,2011-09-03,8281.61
246,2011-09-04,8281.49
247,2011-09-05,8281.43
248,2011-09-06,8281.369999999999
249,2011-09-07,8281.31
250,2011-09-08,8281.27
251,2011-09-09,8281.25
252,2011-09-10,8281.17
253,2011-09-11,8281.07
254,2011-09-12,8280.99
255,2011-09-13,8280.97
256,2011-09-14,8280.93
257,2011-09-15,8280.869999999999
258,2011-09-16,8280.83
259,2011-09-17,8280.73
260,2011-09-18,8280.69
261,2011-09-19,8280.67
262,2011-09-20,8280.630000000001
263,2011-09-21,8280.61
264,2011-09-22,8280.57
265,2011-09-23,8280.55
266,2011-09-24,8280.46
267,2011-09-25,8280.39
268,2011-09-26,8280.41
269,2011-09-27,8280.43
270,2011-09-28,8280.45
271,2011-09-29,8280.39
272,2011-09-30,8280.33
273,2011-10-01,8280.25
274,2011-10-02,8280.21
275,2011-10-03,8280.21
276,2011-10-04,8280.21
277,2011-10-05,8280.29
278,2011-10-06,8280.369999999999
279,2011-10-07,8280.35
280,2011-10-08,8280.41
281,2011-10-09,8280.41
282,2011-10-10,8280.39
283,2011-10-11,8280.43
284,2011-10-12,8280.49
285,2011-10-13,8280.55
286,2011-10-14,8280.59
287,2011-10-15,8280.619999999999
288,2011-10-16,8280.66
289,2011-10-17,8280.69
290,2011-10-18,8280.71
291,2011-10-19,8280.73
292,2011-10-20,8280.77
293,2011-10-21,8280.77
294,2011-10-22,8280.81
295,2011-10-23,8280.85
296,2011-10-24,8280.91
297,2011-10-25,8280.93
298,2011-10-26,8280.89
299,2011-10-27,8280.88
300,2011-10-28,8280.89
301,2011-10-29,8280.89
302,2011-10-30,8280.95
303,2011-10-31,8281.03
304,2011-11-01,8281.01
305,2011-11-02,8280.95
306,2011-11-03,8280.93
307,2011-11-04,8280.97
308,2011-11-05,8280.85
309,2011-11-06,8280.97
310,2011-11-07,8281.01
311,2011-11-08,8281.01
312,2011-11-09,8281.01
313,2011-11-10,8281.0
314,2011-11-11,8281.01
315,2011-11-12,8281.03
316,2011-11-13,8281.01
317,2011-11-14,8281.03
318,2011-11-15,8281.05
319,2011-11-16,8281.05
320,2011-11-17,8281.05
321,2011-11-18,8281.17
322,2011-11-19,8281.15
323,2011-11-20,8281.23
324,2011-11-21,8281.14
325,2011-11-22,8281.07
326,2011-11-23,8281.07
327,2011-11-24,8281.21
328,2011-11-25,8281.29
329,2011-11-26,8281.33
330,2011-11-27,8281.35
331,2011-11-28,8281.380000000001
332,2011-11-29,8281.39
333,2011-11-30,8281.47
334,2011-12-01,8281.53
335,2011-12-02,8281.47
336,2011-12-03,8281.45
337,2011-12-04,8281.47
338,2011-12-05,8281.47
339,2011-12-06,8281.47
340,2011-12-07,8281.49
341,2011-12-08,8281.51
342,2011-12-09,8281.53
343,2011-12-10,8281.55
344,2011-12-11,8281.58
345,2011-12-12,8281.71
346,2011-12-13,8281.61
347,2011-12-14,8281.61
348,2011-12-15,8281.65
349,2011-12-16,8281.67
350,2011-12-17,8281.69
351,2011-12-18,8281.73
352,2011-12-19,8281.77
353,2011-12-20,8281.81
354,2011-12-21,8281.83
355,2011-12-22,8281.869999999999
356,2011-12-23,8281.89
357,2011-12-24,8281.93
358,2011-12-25,8281.97
359,2011-12-26,8281.99
360,2011-12-27,8282.03
361,2011-12-28,8282.11
362,2011-12-29,8282.17
363,2011-12-30,8282.25
364,2011-12-31,8282.39
365,2012-01-01,8282.43
366,2012-01-02,8282.43
367,2012-01-03,8282.49
368,2012-01-04,8282.49
369,2012-01-05,8282.53
370,2012-01-06,8282.51
371,2012-01-07,8282.53
372,2012-01-08,8282.55
373,2012-01-09,8282.55
374,2012-01-10,8282.59
375,2012-01-11,8282.65
376,2012-01-12,8282.65
377,2012-01-13,8282.65
378,2012-01-14,8282.630000000001
379,2012-01-15,8282.71
380,2012-01-16,8282.71
381,2012-01-17,8282.71
382,2012-01-18,8282.77
383,2012-01-19,8282.97
384,2012-01-20,8283.11
385,2012-01-21,8283.29
386,2012-01-22,8283.29
387,2012-01-23,8283.45
388,2012-01-24,8283.42
389,2012-01-25,8283.59
390,2012-01-26,8283.73
391,2012-01-27,8283.85
392,2012-01-28,8283.89
393,2012-01-29,8283.93
394,2012-01-30,8283.99
395,2012-01-31,8284.04
396,2012-02-01,8284.11
397,2012-02-02,8284.17
398,2012-02-03,8284.21
399,2012-02-04,8284.25
400,2012-02-05,8284.29
401,2012-02-06,8284.33
402,2012-02-07,8284.35
403,2012-02-08,8284.39
404,2012-02-09,8284.45
405,2012-02-10,8284.49
406,2012-02-11,8284.59
407,2012-02-12,8284.59
408,2012-02-13,8284.71
409,2012-02-14,8284.75
410,2012-02-15,8284.81
411,2012-02-16,8284.79
412,2012-02-17,8284.83
413,2012-02-18,8284.97
414,2012-02-19,8284.93
415,2012-02-20,8284.97
416,2012-02-21,8285.07
417,2012-02-22,8285.17
418,2012-02-23,8285.19
419,2012-02-24,8285.220000000001
420,2012-02-25,8285.33
421,2012-02-26,8285.369999999999
422,2012-02-27,8285.45
423,2012-02-28,8285.29
424,2012-02-29,8285.53
425,2012-03-01,8285.67
426,2012-03-02,8285.71
427,2012-03-03,8285.77
428,2012-03-04,8285.82
429,2012-03-05,8285.83
430,2012-03-06,8286.03
431,2012-03-07,8285.95
432,2012-03-08,8285.99
433,2012-03-09,8286.01
434,2012-03-10,8286.03
435,2012-03-11,8286.09
436,2012-03-12,8285.81
437,2012-03-13,8286.130000000001
438,2012-03-14,8286.27
439,2012-03-15,8286.35
440,2012-03-16,8286.45
441,2012-03-17,8286.69
442,2012-03-18,8286.83
443,2012-03-19,8286.79
444,2012-03-20,8286.869999999999
445,2012-03-21,8286.97
446,2012-03-22,8287.25
447,2012-03-23,8287.29
448,2012-03-24,8287.33
449,2012-03-25,8287.47
450,2012-03-26,8287.47
451,2012-03-27,8287.29
452,2012-03-28,8287.65
453,2012-03-29,8287.67
454,2012-03-30,8287.83
455,2012-03-31,8287.79
456,2012-04-01,8288.15
457,2012-04-02,8288.23
458,2012-04-03,8288.29
459,2012-04-04,8288.369999999999
460,2012-04-05,8288.45
461,2012-04-06,8288.41
462,2012-04-07,8288.39
463,2012-04-08,8288.35
464,2012-04-09,8288.31
465,2012-04-10,8288.25
466,2012-04-11,8288.25
467,2012-04-12,8288.14
468,2012-04-13,8288.31
469,2012-04-14,8288.33
470,2012-04-15,8288.23
471,2012-04-16,8288.21
472,2012-04-17,8288.17
473,2012-04-18,8288.15
474,2012-04-19,8288.19
475,2012-04-20,8288.25
476,2012-04-21,8288.29
477,2012-04-22,8288.29
478,2012-04-23,8288.31
479,2012-04-24,8288.25
480,2012-04-25,8288.07
481,2012-04-26,8288.2
482,2012-04-27,8288.17
483,2012-04-28,8288.15
484,2012-04-29,8288.14
485,2012-04-30,8288.07
486,2012-05-01,8288.03
487,2012-05-02,8287.97
488,2012-05-03,8287.92
489,2012-05-04,8288.05
490,2012-05-05,8287.99
491,2012-05-06,8287.97
492,2012-05-07,8287.93
493,2012-05-08,8287.88
494,2012-05-09,8287.869999999999
495,2012-05-10,8287.77
496,2012-05-11,8287.67
497,2012-05-12,8287.57
498,2012-05-13,8287.47
499,2012-05-14,8287.41
500,2012-05-15,8287.29
501,2012-05-16,8287.19
502,2012-05-17,8287.11
503,2012-05-18,8287.01
504,2012-05-19,8286.93
505,2012-05-20,8286.83
506,2012-05-21,8286.77
507,2012-05-22,8286.69
508,2012-05-23,8286.71
509,2012-05-24,8286.67
510,2012-05-25,8286.73
511,2012-05-26,8286.630000000001
512,2012-05-27,8286.55
513,2012-05-28,8286.55
514,2012-05-29,8286.53
515,2012-05-30,8286.47
516,2012-05-31,8286.41
517,2012-06-01,8286.369999999999
518,2012-06-02,8286.31
519,2012-06-03,8286.240000000002
520,2012-06-04,8286.21
521,2012-06-05,8286.27
522,2012-06-06,8286.23
523,2012-06-07,8286.21
524,2012-06-08,8286.173999999999
525,2012-06-09,8286.178
526,2012-06-10,8286.142
527,2012-06-11,8286.096
528,2012-06-12,8286.05
529,2012-06-13,8286.01
530,2012-06-14,8285.98
531,2012-06-15,8285.9
532,2012-06-16,8285.79
533,2012-06-17,8285.69
534,2012-06-18,8285.65
535,2012-06-19,8285.51
536,2012-06-20,8285.43
537,2012-06-21,8285.33
538,2012-06-22,8285.14
539,2012-06-23,8285.15
540,2012-06-24,8285.09
541,2012-06-25,8284.99
542,2012-06-26,8284.96
543,2012-06-27,8284.91
544,2012-06-28,8284.79
545,2012-06-29,8284.77
546,2012-06-30,8284.73
547,2012-07-01,8284.69
548,2012-07-02,8284.65
549,2012-07-03,8284.61
550,2012-07-04,8284.53
551,2012-07-05,8284.43
552,2012-07-06,8284.33
553,2012-07-07,8284.27
554,2012-07-08,8284.17
555,2012-07-09,8284.07
556,2012-07-10,8284.0
557,2012-07-11,8283.91
558,2012-07-12,8283.79
559,2012-07-13,8283.69
560,2012-07-14,8283.57
561,2012-07-15,8283.45
562,2012-07-16,8283.33
563,2012-07-17,8283.21
564,2012-07-18,8283.130000000001
565,2012-07-19,8283.01
566,2012-07-20,8282.95
567,2012-07-21,8282.91
568,2012-07-22,8282.85
569,2012-07-23,8282.77
570,2012-07-24,8282.69
571,2012-07-25,8282.57
572,2012-07-26,8282.49
573,2012-07-27,8282.41
574,2012-07-28,8282.31
575,2012-07-29,8282.23
576,2012-07-30,8282.130000000001
577,2012-07-31,8282.05
578,2012-08-01,8281.95
579,2012-08-02,8281.85
580,2012-08-03,8281.75
581,2012-08-04,8281.69
582,2012-08-05,8281.55
583,2012-08-06,8281.45
584,2012-08-07,8281.369999999999
585,2012-08-08,8281.31
586,2012-08-09,8281.23
587,2012-08-10,8281.130000000001
588,2012-08-11,8281.03
589,2012-08-12,8280.93
590,2012-08-13,8280.83
591,2012-08-14,8280.77
592,2012-08-15,8280.67
593,2012-08-16,8280.6
594,2012-08-17,8280.51
595,2012-08-18,8280.43
596,2012-08-19,8280.39
597,2012-08-20,8280.33
598,2012-08-21,8280.27
599,2012-08-22,8280.19
600,2012-08-23,8280.11
601,2012-08-24,8280.03
602,2012-08-25,8279.95
603,2012-08-26,8279.79
604,2012-08-27,8279.71
605,2012-08-28,8279.65
606,2012-08-29,8279.65
607,2012-08-30,8279.57
608,2012-08-31,8279.47
609,2012-09-01,8279.39
610,2012-09-02,8279.33
611,2012-09-03,8279.27
612,2012-09-04,8279.17
613,2012-09-05,8279.11
614,2012-09-06,8279.01
615,2012-09-07,8278.99
616,2012-09-08,8278.89
617,2012-09-09,8278.83
618,2012-09-10,8278.73
619,2012-09-11,8278.75
620,2012-09-12,8278.61
621,2012-09-13,8278.51
622,2012-09-14,8278.41
623,2012-09-15,8278.39
624,2012-09-16,8278.33
625,2012-09-17,8278.29
626,2012-09-18,8278.220000000001
627,2012-09-19,8278.16
628,2012-09-20,8278.11
629,2012-09-21,8278.060000000001
630,2012-09-22,8278.01
631,2012-09-23,8278.01
632,2012-09-24,8277.93
633,2012-09-25,8277.85
634,2012-09-26,8277.83
635,2012-09-27,8277.8
636,2012-09-28,8277.75
637,2012-09-29,8277.72
638,2012-09-30,8277.69
639,2012-10-01,8277.67
640,2012-10-02,8277.630000000001
641,2012-10-03,8277.69
642,2012-10-04,8277.59
643,2012-10-05,8277.57
644,2012-10-06,8277.57
645,2012-10-07,8277.47
646,2012-10-08,8277.39
647,2012-10-09,8277.39
648,2012-10-10,8277.43
649,2012-10-11,8277.39
650,2012-10-12,8277.369999999999
651,2012-10-13,8277.31
652,2012-10-14,8277.35
653,2012-10-15,8277.33
654,2012-10-16,8277.43
655,2012-10-17,8277.51
656,2012-10-18,8277.49
657,2012-10-19,8277.47
658,2012-10-20,8277.53
659,2012-10-21,8277.49
660,2012-10-22,8277.45
661,2012-10-23,8277.49
662,2012-10-24,8277.53
663,2012-10-25,8277.67
664,2012-10-26,8277.65
665,2012-10-27,8277.73
666,2012-10-28,8277.81
667,2012-10-29,8277.85
668,2012-10-30,8277.83
669,2012-10-31,8277.67
670,2012-11-01,8277.869999999999
671,2012-11-02,8277.95
672,2012-11-03,8277.97
673,2012-11-04,8278.0
674,2012-11-05,8278.03
675,2012-11-06,8278.04
676,2012-11-07,8278.05
677,2012-11-08,8278.03
678,2012-11-09,8278.03
679,2012-11-10,8278.09
680,2012-11-11,8278.04
681,2012-11-12,8278.11
682,2012-11-13,8278.19
683,2012-11-14,8278.25
684,2012-11-15,8278.29
685,2012-11-16,8278.27
686,2012-11-17,8278.29
687,2012-11-18,8278.27
688,2012-11-19,8278.09
689,2012-11-20,8278.23
690,2012-11-21,8278.51
691,2012-11-22,8278.630000000001
692,2012-11-23,8278.67
693,2012-11-24,8278.69
694,2012-11-25,8278.81
695,2012-11-26,8278.83
696,2012-11-27,8278.83
697,2012-11-28,8278.67
698,2012-11-29,8278.57
699,2012-11-30,8278.97
700,2012-12-01,8279.01
701,2012-12-02,8279.29
702,2012-12-03,8279.43
703,2012-12-04,8279.5
704,2012-12-05,8279.82
705,2012-12-06,8279.97
706,2012-12-07,8280.09
707,2012-12-08,8280.17
708,2012-12-09,8280.29
709,2012-12-10,8280.35
710,2012-12-11,8280.39
711,2012-12-12,8280.53
712,2012-12-13,8280.61
713,2012-12-14,8280.61
714,2012-12-15,8280.61
715,2012-12-16,8280.71
716,2012-12-17,8280.92
717,2012-12-18,8281.05
718,2012-12-19,8281.05
719,2012-12-20,8280.83
720,2012-12-21,8281.03
721,2012-12-22,8281.2
722,2012-12-23,8281.29
723,2012-12-24,8281.39
724,2012-12-25,8281.43
725,2012-12-26,8281.51
726,2012-12-27,8281.53
727,2012-12-28,8281.57
728,2012-12-29,8281.630000000001
729,2012-12-30,8281.67
730,2012-12-31,8281.69
731,2013-01-01,8281.72
732,2013-01-02,8281.75
733,2013-01-03,8281.77
734,2013-01-04,8281.81
735,2013-01-05,8281.84
736,2013-01-06,8281.89
737,2013-01-07,8281.93
738,2013-01-08,8281.98
739,2013-01-09,8282.03
740,2013-01-10,8282.07
741,2013-01-11,8282.11
742,2013-01-12,8282.130000000001
743,2013-01-13,8282.15
744,2013-01-14,8282.17
745,2013-01-15,8282.16
746,2013-01-16,8282.17
747,2013-01-17,8282.18
748,2013-01-18,8282.21
749,2013-01-19,8282.23
750,2013-01-20,8282.24
751,2013-01-21,8282.25
752,2013-01-22,8282.27
753,2013-01-23,8282.33
754,2013-01-24,8282.41
755,2013-01-25,8282.47
756,2013-01-26,8282.57
757,2013-01-27,8282.619999999999
758,2013-01-28,8282.67
759,2013-01-29,8282.75
760,2013-01-30,8282.81
761,2013-01-31,8282.89
762,2013-02-01,8282.96
763,2013-02-02,8283.01
764,2013-02-03,8283.07
765,2013-02-04,8283.130000000001
766,2013-02-05,8283.2
767,2013-02-06,8283.25
768,2013-02-07,8283.31
769,2013-02-08,8283.369999999999
770,2013-02-09,8283.43
771,2013-02-10,8283.49
772,2013-02-11,8283.55
773,2013-02-12,8283.59
774,2013-02-13,8283.630000000001
775,2013-02-14,8283.69
776,2013-02-15,8283.75
777,2013-02-16,8283.81
778,2013-02-17,8283.86
779,2013-02-18,8283.91
780,2013-02-19,8283.99
781,2013-02-20,8284.05
782,2013-02-21,8284.11
783,2013-02-22,8284.17
784,2013-02-23,8284.25
785,2013-02-24,8284.31
786,2013-02-25,8284.380000000001
787,2013-02-26,8284.43
788,2013-02-27,8284.49
789,2013-02-28,8284.55
790,2013-03-01,8284.6
791,2013-03-02,8284.630000000001
792,2013-03-03,8284.67
793,2013-03-04,8284.71
794,2013-03-05,8284.73
795,2013-03-06,8284.77
796,2013-03-07,8284.85
797,2013-03-08,8284.93
798,2013-03-09,8284.95
799,2013-03-10,8284.97
800,2013-03-11,8285.01
801,2013-03-12,8285.05
802,2013-03-13,8285.09
803,2013-03-14,8285.12
804,2013-03-15,8285.17
805,2013-03-16,8285.19
806,2013-03-17,8285.25
807,2013-03-18,8285.29
808,2013-03-19,8285.29
809,2013-03-20,8285.35
810,2013-03-21,8285.51
811,2013-03-22,8285.57
812,2013-03-23,8285.55
813,2013-03-24,8285.61
814,2013-03-25,8285.65
815,2013-03-26,8285.69
816,2013-03-27,8285.71
817,2013-03-28,8285.77
818,2013-03-29,8285.81
819,2013-03-30,8285.84
820,2013-03-31,8285.83
821,2013-04-01,8285.97
822,2013-04-02,8286.03
823,2013-04-03,8286.09
824,2013-04-04,8286.04
825,2013-04-05,8286.130000000001
826,2013-04-06,8286.21
827,2013-04-07,8286.369999999999
828,2013-04-08,8286.6
829,2013-04-09,8286.55
830,2013-04-10,8286.59
831,2013-04-11,8286.65
832,2013-04-12,8286.69
833,2013-04-13,8286.76
834,2013-04-14,8286.75
835,2013-04-15,8286.84
836,2013-04-16,8286.85
837,2013-04-17,8286.83
838,2013-04-18,8286.79
839,2013-04-19,8286.81
840,2013-04-20,8286.81
841,2013-04-21,8286.85
842,2013-04-22,8286.89
843,2013-04-23,8286.89
844,2013-04-24,8286.869999999999
845,2013-04-25,8286.85
846,2013-04-26,8286.85
847,2013-04-27,8286.85
848,2013-04-28,8286.84
849,2013-04-29,8286.84
850,2013-04-30,8286.83
851,2013-05-01,8286.73
852,2013-05-02,8286.69
853,2013-05-03,8286.69
854,2013-05-04,8286.630000000001
855,2013-05-05,8286.53
856,2013-05-06,8286.47
857,2013-05-07,8286.45
858,2013-05-08,8286.48
859,2013-05-09,8286.53
860,2013-05-10,8286.51
861,2013-05-11,8286.49
862,2013-05-12,8286.45
863,2013-05-13,8286.45
864,2013-05-14,8286.45
865,2013-05-15,8286.39
866,2013-05-16,8286.33
867,2013-05-17,8286.33
868,2013-05-18,8286.27
869,2013-05-19,8286.25
870,2013-05-20,8286.23
871,2013-05-21,8286.19
872,2013-05-22,8286.15
873,2013-05-23,8286.14
874,2013-05-24,8286.09
875,2013-05-25,8286.07
876,2013-05-26,8286.03
877,2013-05-27,8285.97
878,2013-05-28,8286.07
879,2013-05-29,8286.05
880,2013-05-30,8286.060000000001
881,2013-05-31,8286.03
882,2013-06-01,8286.02
883,2013-06-02,8285.99
884,2013-06-03,8285.95
885,2013-06-04,8285.89
886,2013-06-05,8285.83
887,2013-06-06,8285.73
888,2013-06-07,8285.69
889,2013-06-08,8285.61
890,2013-06-09,8285.55
891,2013-06-10,8285.47
892,2013-06-11,8285.32
893,2013-06-12,8285.25
894,2013-06-13,8285.130000000001
895,2013-06-14,8284.99
896,2013-06-15,8284.93
897,2013-06-16,8284.83
898,2013-06-17,8284.73
899,2013-06-18,8284.65
900,2013-06-19,8284.57
901,2013-06-20,8284.49
902,2013-06-21,8284.43
903,2013-06-22,8284.369999999999
904,2013-06-23,8284.29
905,2013-06-24,8284.21
906,2013-06-25,8284.17
907,2013-06-26,8284.21
908,2013-06-27,8284.27
909,2013-06-28,8284.29
910,2013-06-29,8284.28
911,2013-06-30,8284.25
912,2013-07-01,8284.21
913,2013-07-02,8284.17
914,2013-07-03,8284.1
915,2013-07-04,8284.03
916,2013-07-05,8283.99
917,2013-07-06,8283.88
918,2013-07-07,8283.77
919,2013-07-08,8283.67
920,2013-07-09,8283.57
921,2013-07-10,8283.51
922,2013-07-11,8283.43
923,2013-07-12,8283.33
924,2013-07-13,8283.27
925,2013-07-14,8283.17
926,2013-07-15,8283.09
927,2013-07-16,8282.99
928,2013-07-17,8282.93
929,2013-07-18,8282.89
930,2013-07-19,8282.83
931,2013-07-20,8282.73
932,2013-07-21,8282.65
933,2013-07-22,8282.57
934,2013-07-23,8282.49
935,2013-07-24,8282.39
936,2013-07-25,8282.33
937,2013-07-26,8282.23
938,2013-07-27,8282.19
939,2013-07-28,8282.09
940,2013-07-29,8281.97
941,2013-07-30,8281.89
942,2013-07-31,8281.83
943,2013-08-01,8281.79
944,2013-08-02,8281.69
945,2013-08-03,8281.630000000001
946,2013-08-04,8281.57
947,2013-08-05,8281.5
948,2013-08-06,8281.45
949,2013-08-07,8281.39
950,2013-08-08,8281.31
951,2013-08-09,8281.25
952,2013-08-10,8281.2
953,2013-08-11,8281.19
954,2013-08-12,8281.17
955,2013-08-13,8281.11
956,2013-08-14,8281.04
957,2013-08-15,8280.97
958,2013-08-16,8280.95
959,2013-08-17,8280.91
960,2013-08-18,8280.85
961,2013-08-19,8280.79
962,2013-08-20,8280.73
963,2013-08-21,8280.630000000001
964,2013-08-22,8280.55
965,2013-08-23,8280.55
966,2013-08-24,8280.49
967,2013-08-25,8280.45
968,2013-08-26,8280.47
969,2013-08-27,8280.43
970,2013-08-28,8280.39
971,2013-08-29,8280.35
972,2013-08-30,8280.35
973,2013-08-31,8280.29
974,2013-09-01,8280.17
975,2013-09-02,8280.16
976,2013-09-03,8280.130000000001
977,2013-09-04,8280.060000000001
