,datetime,SOUTH_FORK_TOLT_RESERVOIR_NEAR_CARNATION__WA.
346,2011-12-13,1752.7
347,2011-12-14,1752.6
348,2011-12-15,1752.5
349,2011-12-16,1752.36
350,2011-12-17,1752.25
351,2011-12-18,1752.19
352,2011-12-19,1752.06
353,2011-12-20,1751.99
354,2011-12-21,1751.92
355,2011-12-22,1751.77
356,2011-12-23,1751.65
357,2011-12-24,1751.69
358,2011-12-25,1751.7
359,2011-12-26,1751.66
360,2011-12-27,1751.98
361,2011-12-28,1753.94
362,2011-12-29,1754.92
363,2011-12-30,1755.73
364,2011-12-31,1755.78
365,2012-01-01,1755.64
366,2012-01-02,1755.52
367,2012-01-03,1755.44
368,2012-01-04,1755.53
369,2012-01-05,1755.75
370,2012-01-06,1755.66
371,2012-01-07,1755.48
372,2012-01-08,1755.24
373,2012-01-09,1755.06
374,2012-01-10,1754.94
375,2012-01-11,1754.87
376,2012-01-12,1754.77
377,2012-01-13,1754.69
378,2012-01-14,1754.72
379,2012-01-15,1754.68
380,2012-01-16,1754.59
381,2012-01-17,1754.57
382,2012-01-18,1754.52
383,2012-01-19,1754.56
384,2012-01-20,1754.75
385,2012-01-21,1755.23
386,2012-01-22,1755.27
387,2012-01-23,1755.07
388,2012-01-24,1754.93
389,2012-01-25,1755.01
390,2012-01-26,1755.17
391,2012-01-27,1755.02
392,2012-01-28,1754.8
393,2012-01-29,1756.18
394,2012-01-30,1757.57
395,2012-01-31,1757.8
396,2012-02-01,1757.83
397,2012-02-02,1757.74
398,2012-02-03,1757.58
399,2012-02-04,1757.33
400,2012-02-05,1757.12
401,2012-02-06,1756.88
402,2012-02-07,1756.53
403,2012-02-08,1756.25
404,2012-02-09,1756.06
405,2012-02-10,1755.89
406,2012-02-11,1755.77
407,2012-02-12,1755.56
408,2012-02-13,1755.39
409,2012-02-14,1755.31
410,2012-02-15,1755.25
411,2012-02-16,1755.26
412,2012-02-17,1755.33
413,2012-02-18,1755.57
414,2012-02-19,1755.54
415,2012-02-20,1755.38
416,2012-02-21,1758.07
417,2012-02-22,1760.86
418,2012-02-23,1761.13
419,2012-02-24,1761.04
420,2012-02-25,1760.81
421,2012-02-26,1760.22
422,2012-02-27,1759.54
423,2012-02-28,1758.81
424,2012-02-29,1758.1
425,2012-03-01,1757.43
426,2012-03-02,1757.06
427,2012-03-03,1756.81
428,2012-03-04,1756.59
429,2012-03-05,1756.48
430,2012-03-06,1756.25
431,2012-03-07,1755.91
432,2012-03-08,1755.64
433,2012-03-09,1755.44
434,2012-03-10,1755.57
435,2012-03-11,1755.68
436,2012-03-12,1755.65
437,2012-03-13,1755.54
438,2012-03-14,1755.35
439,2012-03-15,1755.56
440,2012-03-16,1755.66
441,2012-03-17,1755.65
442,2012-03-18,1755.48
443,2012-03-19,1755.23
444,2012-03-20,1755.06
445,2012-03-21,1754.79
446,2012-03-22,1754.75
447,2012-03-23,1754.67
448,2012-03-24,1754.62
449,2012-03-25,1754.56
450,2012-03-26,1754.58
451,2012-03-27,1754.57
452,2012-03-28,1754.6
453,2012-03-29,1755.15
454,2012-03-30,1756.03
455,2012-03-31,1756.34
456,2012-04-01,1756.59
457,2012-04-02,1756.71
458,2012-04-03,1756.8
459,2012-04-04,1756.74
460,2012-04-05,1756.52
461,2012-04-06,1756.29
462,2012-04-07,1756.02
463,2012-04-08,1755.73
464,2012-04-09,1755.47
465,2012-04-10,1755.53
466,2012-04-11,1755.76
467,2012-04-12,1756.03
468,2012-04-13,1756.19
469,2012-04-14,1756.25
470,2012-04-15,1756.32
471,2012-04-16,1756.64
472,2012-04-17,1756.88
473,2012-04-18,1757.01
474,2012-04-19,1757.24
475,2012-04-20,1758.83
476,2012-04-21,1759.13
477,2012-04-22,1759.49
478,2012-04-23,1759.87
479,2012-04-24,1759.83
480,2012-04-25,1759.81
481,2012-04-26,1760.0
482,2012-04-27,1759.77
483,2012-04-28,1759.38
484,2012-04-29,1758.96
485,2012-04-30,1759.53
486,2012-05-01,1759.83
487,2012-05-02,1759.82
488,2012-05-03,1759.83
489,2012-05-04,1759.97
490,2012-05-05,1759.96
491,2012-05-06,1759.84
492,2012-05-07,1759.64
493,2012-05-08,1759.43
494,2012-05-09,1759.19
495,2012-05-10,1758.83
496,2012-05-11,1758.43
497,2012-05-12,1758.27
498,2012-05-13,1758.28
499,2012-05-14,1758.48
500,2012-05-15,1758.77
501,2012-05-16,1758.93
502,2012-05-17,1759.0
503,2012-05-18,1759.01
504,2012-05-19,1759.06
505,2012-05-20,1759.15
506,2012-05-21,1759.59
507,2012-05-22,1760.44
508,2012-05-23,1761.82
509,2012-05-24,1762.54
510,2012-05-25,1762.84
511,2012-05-26,1763.01
512,2012-05-27,1763.16
513,2012-05-28,1763.28
514,2012-05-29,1763.35
515,2012-05-30,1763.33
516,2012-05-31,1763.6
517,2012-06-01,1764.44
518,2012-06-02,1764.77
519,2012-06-03,1764.81
520,2012-06-04,1764.7
521,2012-06-05,1764.84
522,2012-06-06,1764.94
523,2012-06-07,1765.01
524,2012-06-08,1765.08
525,2012-06-09,1765.03
526,2012-06-10,1764.96
527,2012-06-11,1764.82
528,2012-06-12,1764.75
529,2012-06-13,1764.99
530,2012-06-14,1764.93
531,2012-06-15,1764.77
532,2012-06-16,1764.74
533,2012-06-17,1765.37
534,2012-06-18,1765.69
535,2012-06-19,1765.54
536,2012-06-20,1765.32
537,2012-06-21,1765.17
538,2012-06-22,1765.1
539,2012-06-23,1765.09
540,2012-06-24,1764.97
541,2012-06-25,1764.72
542,2012-06-26,1764.72
543,2012-06-27,1764.67
544,2012-06-28,1764.71
545,2012-06-29,1764.77
546,2012-06-30,1764.87
547,2012-07-01,1764.97
548,2012-07-02,1764.97
549,2012-07-03,1765.23
550,2012-07-04,1765.29
551,2012-07-05,1765.21
552,2012-07-06,1765.09
553,2012-07-07,1764.98
554,2012-07-08,1764.88
555,2012-07-09,1764.77
556,2012-07-10,1764.69
557,2012-07-11,1764.59
558,2012-07-12,1764.48
559,2012-07-13,1764.36
560,2012-07-14,1764.26
561,2012-07-15,1764.14
562,2012-07-16,1764.01
563,2012-07-17,1763.87
564,2012-07-18,1763.71
565,2012-07-19,1763.55
566,2012-07-20,1763.51
567,2012-07-21,1763.42
568,2012-07-22,1763.22
569,2012-07-23,1763.1
570,2012-07-24,1762.93
571,2012-07-25,1762.72
572,2012-07-26,1762.55
573,2012-07-27,1762.33
574,2012-07-28,1762.14
575,2012-07-29,1761.95
576,2012-07-30,1761.71
577,2012-07-31,1761.48
578,2012-08-01,1761.25
579,2012-08-02,1761.01
580,2012-08-03,1760.73
581,2012-08-04,1760.49
582,2012-08-05,1760.21
583,2012-08-06,1759.97
584,2012-08-07,1759.71
585,2012-08-08,1759.47
586,2012-08-09,1759.23
587,2012-08-10,1758.94
588,2012-08-11,1758.67
589,2012-08-12,1758.38
590,2012-08-13,1758.08
591,2012-08-14,1757.79
592,2012-08-15,1757.48
593,2012-08-16,1757.19
594,2012-08-17,1756.84
595,2012-08-18,1756.5
596,2012-08-19,1756.26
597,2012-08-20,1755.99
598,2012-08-21,1755.7
599,2012-08-22,1755.42
600,2012-08-23,1755.15
601,2012-08-24,1754.86
602,2012-08-25,1754.57
603,2012-08-26,1754.28
604,2012-08-27,1753.99
605,2012-08-28,1753.71
606,2012-08-29,1753.43
607,2012-08-30,1753.14
608,2012-08-31,1752.82
609,2012-09-01,1752.54
610,2012-09-02,1752.25
611,2012-09-03,1751.96
612,2012-09-04,1751.65
613,2012-09-05,1751.34
614,2012-09-06,1751.05
615,2012-09-07,1750.74
616,2012-09-08,1750.4
617,2012-09-09,1750.12
618,2012-09-10,1749.91
619,2012-09-11,1749.66
620,2012-09-12,1749.42
621,2012-09-13,1749.12
622,2012-09-14,1748.84
623,2012-09-15,1748.56
624,2012-09-16,1748.27
625,2012-09-17,1747.99
626,2012-09-18,1747.71
627,2012-09-19,1747.43
628,2012-09-20,1747.12
629,2012-09-21,1746.81
630,2012-09-22,1746.52
631,2012-09-23,1746.26
632,2012-09-24,1746.0
633,2012-09-25,1745.73
634,2012-09-26,1745.4
635,2012-09-27,1745.1
636,2012-09-28,1744.76
637,2012-09-29,1744.45
638,2012-09-30,1744.14
639,2012-10-01,1743.73
640,2012-10-02,1743.51
641,2012-10-03,1743.18
642,2012-10-04,1742.84
643,2012-10-05,1742.49
644,2012-10-06,1742.12
645,2012-10-07,1741.8
646,2012-10-08,1741.45
647,2012-10-09,1741.12
648,2012-10-10,1740.77
649,2012-10-11,1740.43
650,2012-10-12,1740.2
651,2012-10-13,1740.17
652,2012-10-14,1740.48
653,2012-10-15,1740.92
654,2012-10-16,1741.49
655,2012-10-17,1741.47
656,2012-10-18,1741.47
657,2012-10-19,1742.27
658,2012-10-20,1742.48
659,2012-10-21,1742.5
660,2012-10-22,1742.41
661,2012-10-23,1742.37
662,2012-10-24,1742.26
663,2012-10-25,1742.13
664,2012-10-26,1741.97
665,2012-10-27,1742.59
666,2012-10-28,1743.16
667,2012-10-29,1744.02
668,2012-10-30,1745.04
669,2012-10-31,1745.7
670,2012-11-01,1746.05
671,2012-11-02,1746.36
672,2012-11-03,1746.63
673,2012-11-04,1747.11
674,2012-11-05,1747.95
675,2012-11-06,1748.11
676,2012-11-07,1748.26
677,2012-11-08,1748.31
678,2012-11-09,1748.3
679,2012-11-10,1748.25
680,2012-11-11,1748.3
681,2012-11-12,1748.65
682,2012-11-13,1749.06
683,2012-11-14,1749.63
684,2012-11-15,1749.81
685,2012-11-16,1749.88
686,2012-11-17,1749.96
687,2012-11-18,1750.14
688,2012-11-19,1751.34
689,2012-11-20,1752.09
690,2012-11-21,1752.49
691,2012-11-22,1752.67
692,2012-11-23,1753.93
693,2012-11-24,1754.9
694,2012-11-25,1755.2
695,2012-11-26,1755.16
696,2012-11-27,1755.09
697,2012-11-28,1754.9
698,2012-11-29,1754.65
699,2012-11-30,1754.47
700,2012-12-01,1754.48
701,2012-12-02,1754.8
702,2012-12-03,1755.54
703,2012-12-04,1756.63
704,2012-12-05,1756.99
705,2012-12-06,1757.09
706,2012-12-07,1756.89
707,2012-12-08,1756.59
708,2012-12-09,1756.21
709,2012-12-10,1755.81
710,2012-12-11,1755.44
711,2012-12-12,1755.14
712,2012-12-13,1754.68
713,2012-12-14,1754.28
714,2012-12-15,1754.02
715,2012-12-16,1753.94
716,2012-12-17,1753.95
717,2012-12-18,1753.92
718,2012-12-19,1753.96
719,2012-12-20,1754.01
720,2012-12-21,1753.96
721,2012-12-22,1753.92
722,2012-12-23,1753.82
723,2012-12-24,1753.81
724,2012-12-25,1753.76
725,2012-12-26,1753.71
726,2012-12-27,1753.7
727,2012-12-28,1753.61
728,2012-12-29,1753.56
729,2012-12-30,1753.44
730,2012-12-31,1753.33
731,2013-01-01,1753.26
732,2013-01-02,1753.14
733,2013-01-03,1753.04
734,2013-01-04,1752.98
735,2013-01-05,1752.97
736,2013-01-06,1752.99
737,2013-01-07,1753.65
738,2013-01-08,1754.6
739,2013-01-09,1755.83
740,2013-01-10,1756.04
741,2013-01-11,1755.97
742,2013-01-12,1755.77
743,2013-01-13,1755.54
744,2013-01-14,1755.22
745,2013-01-15,1754.96
746,2013-01-16,1754.76
747,2013-01-17,1754.64
748,2013-01-18,1754.58
749,2013-01-19,1754.56
750,2013-01-20,1754.52
751,2013-01-21,1754.5
752,2013-01-22,1754.51
753,2013-01-23,1754.58
754,2013-01-24,1754.63
755,2013-01-25,1754.9
756,2013-01-26,1755.14
757,2013-01-27,1755.3
758,2013-01-28,1755.43
759,2013-01-29,1755.56
760,2013-01-30,1755.87
761,2013-01-31,1756.26
762,2013-02-01,1756.52
763,2013-02-02,1756.52
764,2013-02-03,1756.54
765,2013-02-04,1756.54
766,2013-02-05,1756.61
767,2013-02-06,1756.69
768,2013-02-07,1756.63
769,2013-02-08,1756.47
770,2013-02-09,1756.27
771,2013-02-10,1756.05
772,2013-02-11,1755.78
773,2013-02-12,1755.54
774,2013-02-13,1755.65
775,2013-02-14,1755.59
776,2013-02-15,1755.44
777,2013-02-16,1755.43
778,2013-02-17,1755.35
779,2013-02-18,1755.18
780,2013-02-19,1754.95
781,2013-02-20,1754.92
782,2013-02-21,1754.96
783,2013-02-22,1755.17
784,2013-02-23,1755.22
785,2013-02-24,1755.25
786,2013-02-25,1755.28
787,2013-02-26,1755.28
788,2013-02-27,1755.22
789,2013-02-28,1755.43
790,2013-03-01,1756.48
791,2013-03-02,1756.74
792,2013-03-03,1756.78
793,2013-03-04,1756.6
794,2013-03-05,1756.26
795,2013-03-06,1755.93
796,2013-03-07,1755.62
797,2013-03-08,1755.24
798,2013-03-09,1754.93
799,2013-03-10,1754.77
800,2013-03-11,1754.59
801,2013-03-12,1755.66
802,2013-03-13,1757.9
803,2013-03-14,1758.61
804,2013-03-15,1759.09
805,2013-03-16,1759.59
806,2013-03-17,1759.64
807,2013-03-18,1759.46
808,2013-03-19,1759.18
809,2013-03-20,1759.14
810,2013-03-21,1758.91
811,2013-03-22,1758.61
812,2013-03-23,1758.36
813,2013-03-24,1758.0
814,2013-03-25,1757.65
815,2013-03-26,1757.44
816,2013-03-27,1757.25
817,2013-03-28,1757.3
818,2013-03-29,1757.37
819,2013-03-30,1757.49
820,2013-03-31,1757.67
821,2013-04-01,1757.94
822,2013-04-02,1758.2
823,2013-04-03,1758.32
824,2013-04-04,1758.48
825,2013-04-05,1760.36
826,2013-04-06,1761.41
827,2013-04-07,1761.79
828,2013-04-08,1761.79
829,2013-04-09,1761.55
830,2013-04-10,1762.25
831,2013-04-11,1762.48
832,2013-04-12,1762.3
833,2013-04-13,1762.32
834,2013-04-14,1762.2
835,2013-04-15,1761.95
836,2013-04-16,1761.45
837,2013-04-17,1760.92
838,2013-04-18,1760.9050000000002
839,2013-04-19,1760.89
840,2013-04-20,1761.79
841,2013-04-21,1762.69
842,2013-04-22,1762.53
843,2013-04-23,1762.22
844,2013-04-24,1761.68
845,2013-04-25,1761.06
846,2013-04-26,1760.54
847,2013-04-27,1760.19
848,2013-04-28,1760.29
849,2013-04-29,1760.34
850,2013-04-30,1759.96
851,2013-05-01,1759.4
852,2013-05-02,1758.91
853,2013-05-03,1758.62
854,2013-05-04,1758.51
855,2013-05-05,1758.52
856,2013-05-06,1758.75
857,2013-05-07,1759.1
858,2013-05-08,1759.41
859,2013-05-09,1759.68
860,2013-05-10,1760.02
861,2013-05-11,1760.36
862,2013-05-12,1760.85
863,2013-05-13,1761.61
864,2013-05-14,1761.5749999999998
865,2013-05-15,1761.54
866,2013-05-16,1761.5
867,2013-05-17,1761.62
868,2013-05-18,1761.74
869,2013-05-19,1761.79
870,2013-05-20,1761.8
871,2013-05-21,1761.84
872,2013-05-22,1761.99
873,2013-05-23,1762.04
874,2013-05-24,1762.04
875,2013-05-25,1762.0
876,2013-05-26,1762.01
877,2013-05-27,1762.14
878,2013-05-28,1762.46
879,2013-05-29,1762.71
880,2013-05-30,1763.1
881,2013-05-31,1763.25
882,2013-06-01,1763.31
883,2013-06-02,1763.36
884,2013-06-03,1763.38
885,2013-06-04,1763.35
886,2013-06-05,1763.35
887,2013-06-06,1763.33
888,2013-06-07,1763.33
889,2013-06-08,1763.27
890,2013-06-09,1763.2
891,2013-06-10,1763.08
892,2013-06-11,1762.99
893,2013-06-12,1762.83
894,2013-06-13,1762.73
895,2013-06-14,1762.57
896,2013-06-15,1762.42
897,2013-06-16,1762.3
898,2013-06-17,1762.17
899,2013-06-18,1762.05
900,2013-06-19,1761.94
901,2013-06-20,1762.43
902,2013-06-21,1762.69
903,2013-06-22,1762.71
904,2013-06-23,1762.67
905,2013-06-24,1762.74
906,2013-06-25,1762.76
907,2013-06-26,1762.8
908,2013-06-27,1762.78
909,2013-06-28,1762.79
910,2013-06-29,1762.74
911,2013-06-30,1762.63
912,2013-07-01,1762.49
913,2013-07-02,1762.34
914,2013-07-03,1762.16
915,2013-07-04,1761.96
916,2013-07-05,1761.79
917,2013-07-06,1761.61
918,2013-07-07,1761.42
919,2013-07-08,1761.17
920,2013-07-09,1760.93
921,2013-07-10,1760.68
922,2013-07-11,1760.44
923,2013-07-12,1760.17
924,2013-07-13,1759.93
925,2013-07-14,1759.65
926,2013-07-15,1759.36
927,2013-07-16,1759.05
928,2013-07-17,1758.8
929,2013-07-18,1758.55
930,2013-07-19,1758.28
931,2013-07-20,1757.99
932,2013-07-21,1757.7
933,2013-07-22,1757.45
934,2013-07-23,1757.16
935,2013-07-24,1756.86
936,2013-07-25,1756.55
937,2013-07-26,1756.21
938,2013-07-27,1755.84
939,2013-07-28,1755.52
940,2013-07-29,1755.23
941,2013-07-30,1754.94
942,2013-07-31,1754.63
943,2013-08-01,1754.37
944,2013-08-02,1754.14
945,2013-08-03,1753.89
946,2013-08-04,1753.65
947,2013-08-05,1753.36
948,2013-08-06,1753.05
949,2013-08-07,1752.71
950,2013-08-08,1752.39
951,2013-08-09,1752.06
952,2013-08-10,1751.78
953,2013-08-11,1751.54
954,2013-08-12,1751.25
955,2013-08-13,1750.91
956,2013-08-14,1750.64
957,2013-08-15,1750.36
958,2013-08-16,1750.1
959,2013-08-17,1749.81
960,2013-08-18,1749.5
961,2013-08-19,1749.16
962,2013-08-20,1748.84
963,2013-08-21,1748.53
964,2013-08-22,1748.18
965,2013-08-23,1747.84
966,2013-08-24,1747.52
967,2013-08-25,1747.25
968,2013-08-26,1747.01
969,2013-08-27,1746.68
970,2013-08-28,1746.47
971,2013-08-29,1746.46
972,2013-08-30,1746.49
973,2013-08-31,1746.26
974,2013-09-01,1746.02
975,2013-09-02,1745.76
976,2013-09-03,1745.51
977,2013-09-04,1745.24
978,2013-09-05,1745.03
979,2013-09-06,1745.06
980,2013-09-07,1744.91
981,2013-09-08,1744.72
982,2013-09-09,1744.45
983,2013-09-10,1744.18
984,2013-09-11,1743.9099999999999
985,2013-09-12,1743.6399999999999
986,2013-09-13,1743.37
987,2013-09-14,1743.07
988,2013-09-15,1742.78
989,2013-09-16,1742.51
990,2013-09-17,1742.25
991,2013-09-18,1742.07
